algorithm,instance_id,family,k_final,d_final,time_sec,status,error
GRASP,R101,R1,19.0,1491.7317392397847,29.34753108024597,success,
VND,R101,R1,19,1491.7317392397847,88.52965974807739,success,
GRASP,R102,R1,18.0,1464.6866292511756,70.74806571006775,success,
VND,R102,R1,18,1464.6866292511756,27.375883102416992,success,
GRASP,R103,R1,14.0,1255.7898470594953,16.693127870559692,success,
VND,R103,R1,14,1255.7898470594953,17.2576003074646,success,
GRASP,R104,R1,11.0,992.0394183148143,33.62990427017212,success,
VND,R104,R1,11,992.0394183148143,31.587718725204468,success,
GRASP,R105,R1,15.0,1277.8291262613516,16.387280464172363,success,
VND,R105,R1,15,1277.8291262613516,17.3740975856781,success,
GRASP,R106,R1,14.0,1199.0378307925125,15.032226085662842,success,
VND,R106,R1,14,1199.0378307925125,15.536952257156372,success,
GRASP,R107,R1,12.0,1081.693823480533,18.332011938095093,success,
VND,R107,R1,12,1081.693823480533,17.04512667655945,success,
GRASP,R108,R1,10.0,1003.3615092743455,14.923442363739014,success,
VND,R108,R1,10,1003.3615092743455,13.950825929641724,success,
GRASP,R109,R1,14.0,1196.6002355611715,11.13642954826355,success,
VND,R109,R1,14,1196.6002355611715,11.220027208328247,success,
GRASP,R110,R1,12.0,1175.8352697972216,29.96288299560547,success,
VND,R110,R1,12,1175.8352697972216,30.753363847732544,success,
GRASP,R111,R1,12.0,1116.076112026474,12.19961166381836,success,
VND,R111,R1,12,1116.076112026474,12.321900844573975,success,
GRASP,R112,R1,11.0,1026.563358438772,33.70838952064514,success,
VND,R112,R1,11,1026.563358438772,20.32025671005249,success,
