algorithm,d_bks,d_final,delta_K,family,gap_distance,gap_percent,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GRASP,1650.79864,1491.7317392397847,0,R1,-159.06690076021528,-9.635754289221808,R101,19,19.0,True,success,12.51167631149292
VND,1650.79864,1491.7317392397847,0,R1,-159.06690076021528,-9.635754289221808,R101,19,19,True,success,12.713505029678345
ILS,1650.79864,791.5402505769351,-12,R1,,,R101,19,7.0,False,success,13.985625505447388
GRASP,1486.85859,1464.6866292511756,1,R1,,,R102,17,18.0,False,success,13.190059185028076
VND,1486.85859,1464.6866292511756,1,R1,,,R102,17,18,False,success,13.273151159286499
ILS,1486.85859,809.6714271724104,-9,R1,,,R102,17,8.0,False,success,9.064616203308105
GRASP,1292.67493,1255.7898470594953,1,R1,,,R103,13,14.0,False,success,8.245953559875488
VND,1292.67493,1255.7898470594953,1,R1,,,R103,13,14,False,success,8.423299789428711
ILS,1292.67493,843.382166758777,-5,R1,,,R103,13,8.0,False,success,15.174723148345947
GRASP,1007.31005,992.0394183148143,2,R1,,,R104,9,11.0,False,success,14.84078574180603
VND,1007.31005,992.0394183148143,2,R1,,,R104,9,11,False,success,14.850942850112915
ILS,1007.31005,854.2062765053995,0,R1,-153.10377349460055,-15.199269926335049,R104,9,9.0,True,success,14.101265668869019
GRASP,1377.11046,1277.8291262613516,1,R1,,,R105,14,15.0,False,success,7.4408159255981445
VND,1377.11046,1277.8291262613516,1,R1,,,R105,14,15,False,success,7.432568788528442
ILS,1377.11046,951.1574377791342,-3,R1,,,R105,14,11.0,False,success,8.128015279769897
GRASP,1252.03013,1199.0378307925125,2,R1,,,R106,12,14.0,False,success,6.208862066268921
VND,1252.03013,1199.0378307925125,2,R1,,,R106,12,14,False,success,6.2887139320373535
ILS,1252.03013,905.1127782820685,-2,R1,,,R106,12,10.0,False,success,7.995694637298584
GRASP,1104.65547,1081.693823480533,2,R1,,,R107,10,12.0,False,success,6.99264121055603
VND,1104.65547,1081.693823480533,2,R1,,,R107,10,12,False,success,7.166715860366821
ILS,1104.65547,828.8971781100012,-2,R1,,,R107,10,8.0,False,success,9.437805414199829
GRASP,960.87528,1003.3615092743455,1,R1,,,R108,9,10.0,False,success,6.10150671005249
VND,960.87528,1003.3615092743455,1,R1,,,R108,9,10,False,success,6.1666834354400635
ILS,960.87528,824.5287703515153,-1,R1,,,R108,9,8.0,False,success,10.604650974273682
GRASP,1194.73359,1196.6002355611715,3,R1,,,R109,11,14.0,False,success,5.498444080352783
VND,1194.73359,1196.6002355611715,3,R1,,,R109,11,14,False,success,5.587972402572632
ILS,1194.73359,894.5471761849317,-1,R1,,,R109,11,10.0,False,success,8.136963605880737
GRASP,1118.83808,1175.8352697972216,2,R1,,,R110,10,12.0,False,success,13.770964860916138
VND,1118.83808,1175.8352697972216,2,R1,,,R110,10,12,False,success,13.782005310058594
ILS,1118.83808,863.3593747424453,-1,R1,,,R110,10,9.0,False,success,9.00597095489502
GRASP,1096.72605,1116.076112026474,2,R1,,,R111,10,12.0,False,success,7.456774950027466
VND,1096.72605,1116.076112026474,2,R1,,,R111,10,12,False,success,7.268187999725342
ILS,1096.72605,821.430720858241,-2,R1,,,R111,10,8.0,False,success,16.868804216384888
GRASP,982.13919,1026.563358438772,2,R1,,,R112,9,11.0,False,success,18.597947597503662
VND,982.13919,1026.563358438772,2,R1,,,R112,9,11,False,success,18.66524577140808
ILS,982.13919,828.9002315161944,-1,R1,,,R112,9,8.0,False,success,14.098238706588745
