================================================================================
TIMING REPORT
================================================================================
Mode: FULL
Start: 2026-01-03T01:38:53.444257
Total Experiments: 168
  - Algorithms: 3
  - Instances: 56
  - Repetitions: 1
================================================================================

[OK] GAA_Algorithm_3 | R106    (R1) | K=16, D=  1658.1, t=  0.62s
[OK] GAA_Algorithm_1 | R107    (R1) | K= 8, D=  1317.6, t=  3.49s
[OK] GAA_Algorithm_2 | R107    (R1) | K= 8, D=  1172.2, t=  0.17s
[OK] GAA_Algorithm_3 | R107    (R1) | K=14, D=  1472.1, t=  0.68s
[OK] GAA_Algorithm_1 | R108    (R1) | K= 8, D=  1408.6, t=  3.23s
[OK] GAA_Algorithm_2 | R108    (R1) | K= 8, D=  1172.2, t=  0.17s
[OK] GAA_Algorithm_3 | R108    (R1) | K=11, D=  1286.7, t=  0.77s
[OK] GAA_Algorithm_1 | R109    (R1) | K= 8, D=  1283.0, t=  3.60s
[OK] GAA_Algorithm_2 | R109    (R1) | K= 8, D=  1172.2, t=  0.17s
[OK] GAA_Algorithm_3 | R109    (R1) | K=14, D=  1465.5, t=  0.62s
[OK] GAA_Algorithm_1 | R110    (R1) | K= 8, D=  1271.3, t=  3.70s
[OK] GAA_Algorithm_2 | R110    (R1) | K= 8, D=  1172.2, t=  0.17s
[OK] GAA_Algorithm_3 | R110    (R1) | K=12, D=  1367.8, t=  0.70s
[OK] GAA_Algorithm_1 | R111    (R1) | K= 8, D=  1392.7, t=  2.52s
[OK] GAA_Algorithm_2 | R111    (R1) | K= 8, D=  1172.2, t=  0.17s
[OK] GAA_Algorithm_3 | R111    (R1) | K=13, D=  1328.9, t=  0.78s
[OK] GAA_Algorithm_1 | R112    (R1) | K= 8, D=  1351.6, t=  3.07s
[OK] GAA_Algorithm_2 | R112    (R1) | K= 8, D=  1172.2, t=  0.16s
[OK] GAA_Algorithm_3 | R112    (R1) | K=11, D=  1228.3, t=  0.63s
[OK] GAA_Algorithm_1 | R201    (R2) | K= 8, D=  1295.9, t=  2.81s
[OK] GAA_Algorithm_2 | R201    (R2) | K= 8, D=  1172.2, t=  0.16s
[OK] GAA_Algorithm_3 | R201    (R2) | K= 8, D=  1160.1, t=  0.96s
[OK] GAA_Algorithm_1 | R202    (R2) | K= 8, D=  1344.3, t=  2.47s
[OK] GAA_Algorithm_2 | R202    (R2) | K= 8, D=  1172.2, t=  0.16s
[OK] GAA_Algorithm_3 | R202    (R2) | K= 8, D=  1131.9, t=  0.93s
[OK] GAA_Algorithm_1 | R203    (R2) | K= 8, D=  1340.0, t=  3.37s
[OK] GAA_Algorithm_2 | R203    (R2) | K= 8, D=  1172.2, t=  0.16s
[OK] GAA_Algorithm_3 | R203    (R2) | K= 8, D=  1050.9, t=  0.96s
[OK] GAA_Algorithm_1 | R204    (R2) | K= 8, D=  1275.9, t=  3.46s
[OK] GAA_Algorithm_2 | R204    (R2) | K= 8, D=  1172.2, t=  0.16s
[OK] GAA_Algorithm_3 | R204    (R2) | K= 7, D=  1018.2, t=  1.03s
[OK] GAA_Algorithm_1 | R205    (R2) | K= 8, D=  1313.2, t=  2.12s
[OK] GAA_Algorithm_2 | R205    (R2) | K= 8, D=  1172.2, t=  0.16s
[OK] GAA_Algorithm_3 | R205    (R2) | K= 7, D=  1067.1, t=  0.99s
[OK] GAA_Algorithm_1 | R206    (R2) | K= 8, D=  1483.2, t=  2.86s
[OK] GAA_Algorithm_2 | R206    (R2) | K= 8, D=  1172.2, t=  0.16s
[OK] GAA_Algorithm_3 | R206    (R2) | K= 8, D=  1055.8, t=  1.01s
[OK] GAA_Algorithm_1 | R207    (R2) | K= 8, D=  1335.0, t=  2.47s
[OK] GAA_Algorithm_2 | R207    (R2) | K= 8, D=  1172.2, t=  0.16s
[OK] GAA_Algorithm_3 | R207    (R2) | K= 7, D=  1021.6, t=  0.98s
[OK] GAA_Algorithm_1 | R208    (R2) | K= 8, D=  1292.9, t=  3.62s
[OK] GAA_Algorithm_2 | R208    (R2) | K= 8, D=  1172.2, t=  0.16s
[OK] GAA_Algorithm_3 | R208    (R2) | K= 7, D=  1003.7, t=  0.99s
[OK] GAA_Algorithm_1 | R209    (R2) | K= 8, D=  1424.7, t=  2.29s
[OK] GAA_Algorithm_2 | R209    (R2) | K= 8, D=  1172.2, t=  0.16s
[OK] GAA_Algorithm_3 | R209    (R2) | K= 7, D=  1064.8, t=  1.00s
[OK] GAA_Algorithm_1 | R210    (R2) | K= 8, D=  1212.7, t=  3.08s
[OK] GAA_Algorithm_2 | R210    (R2) | K= 8, D=  1172.2, t=  0.16s
[OK] GAA_Algorithm_3 | R210    (R2) | K= 7, D=   979.4, t=  1.02s
[OK] GAA_Algorithm_1 | R211    (R2) | K= 8, D=  1500.3, t=  2.62s
[OK] GAA_Algorithm_2 | R211    (R2) | K= 8, D=  1172.2, t=  0.16s
[OK] GAA_Algorithm_3 | R211    (R2) | K= 7, D=   979.4, t=  1.01s
