algorithm,d_bks,d_final,delta_K,family,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GRASP,1650.79864,54.007529346594374,-18,R1,R101,19,1.0,False,success,4.79170560836792
VND,1650.79864,54.007529346594374,-18,R1,R101,19,1,False,success,4.785131216049194
ILS,1650.79864,55.27296525778705,-18,R1,R101,19,1.0,False,success,1.5060956478118896
GRASP,1486.85859,59.09300324849883,-16,R1,R102,17,1.0,False,success,5.9260406494140625
VND,1486.85859,59.09300324849883,-16,R1,R102,17,1,False,success,5.929846525192261
ILS,1486.85859,62.33145947244955,-16,R1,R102,17,1.0,False,success,1.270263671875
GRASP,1292.67493,67.37639870697338,-12,R1,R103,13,1.0,False,success,4.379119873046875
VND,1292.67493,67.37639870697338,-12,R1,R103,13,1,False,success,4.4107825756073
ILS,1292.67493,68.3051777498693,-12,R1,R103,13,1.0,False,success,1.2931735515594482
GRASP,1007.31005,59.391764804200186,-8,R1,R104,9,1.0,False,success,3.6427648067474365
VND,1007.31005,59.391764804200186,-8,R1,R104,9,1,False,success,3.6480419635772705
ILS,1007.31005,59.391764804200186,-8,R1,R104,9,1.0,False,success,1.2960386276245117
GRASP,1377.11046,55.528228979146654,-13,R1,R105,14,1.0,False,success,3.651623010635376
VND,1377.11046,55.528228979146654,-13,R1,R105,14,1,False,success,3.615360736846924
ILS,1377.11046,55.528228979146654,-13,R1,R105,14,1.0,False,success,1.2636349201202393
GRASP,1252.03013,59.391764804200186,-11,R1,R106,12,1.0,False,success,3.6893510818481445
VND,1252.03013,59.391764804200186,-11,R1,R106,12,1,False,success,3.6759650707244873
ILS,1252.03013,59.391764804200186,-11,R1,R106,12,1.0,False,success,1.282407522201538
GRASP,1104.65547,64.70512723358232,-9,R1,R107,10,1.0,False,success,5.979238271713257
VND,1104.65547,64.70512723358232,-9,R1,R107,10,1,False,success,5.973605394363403
ILS,1104.65547,79.77672893330615,-9,R1,R107,10,1.0,False,success,1.2745552062988281
GRASP,960.87528,64.70512723358232,-8,R1,R108,9,1.0,False,success,6.027438640594482
VND,960.87528,64.70512723358232,-8,R1,R108,9,1,False,success,8.597538232803345
ILS,960.87528,71.98188659749917,-8,R1,R108,9,1.0,False,success,1.867382526397705
GRASP,1194.73359,59.13189564301204,-10,R1,R109,11,1.0,False,success,8.324999332427979
VND,1194.73359,59.13189564301204,-10,R1,R109,11,1,False,success,8.183748960494995
ILS,1194.73359,61.62825601150996,-10,R1,R109,11,1.0,False,success,1.8210792541503906
GRASP,1118.83808,61.35655527146817,-9,R1,R110,10,1.0,False,success,4.992460012435913
VND,1118.83808,61.35655527146817,-9,R1,R110,10,1,False,success,5.035090446472168
ILS,1118.83808,61.35655527146817,-9,R1,R110,10,1.0,False,success,1.9188573360443115
GRASP,1096.72605,61.856583317536284,-9,R1,R111,10,1.0,False,success,6.222461223602295
VND,1096.72605,61.856583317536284,-9,R1,R111,10,1,False,success,6.353882074356079
ILS,1096.72605,62.43691829841907,-9,R1,R111,10,1.0,False,success,1.9137587547302246
GRASP,982.13919,65.12301683739044,-8,R1,R112,9,1.0,False,success,6.473925590515137
VND,982.13919,65.12301683739044,-8,R1,R112,9,1,False,success,6.587364673614502
ILS,982.13919,68.28515696998095,-8,R1,R112,9,1.0,False,success,1.8993315696716309
