algorithm,d_final,family,instance_id,k_final,status,time_sec
GRASP,54.007529346594374,R1,R101,1.0,success,4.9813714027404785
VND,54.007529346594374,R1,R101,1,success,5.12901759147644
ILS,55.27296525778705,R1,R101,1.0,success,1.5690817832946777
GRASP,59.09300324849883,R1,R102,1.0,success,6.166658878326416
VND,59.09300324849883,R1,R102,1,success,6.305565595626831
ILS,62.33145947244955,R1,R102,1.0,success,1.3259305953979492
GRASP,67.37639870697338,R1,R103,1.0,success,4.583291530609131
VND,67.37639870697338,R1,R103,1,success,4.660642862319946
ILS,68.3051777498693,R1,R103,1.0,success,1.34293532371521
GRASP,59.391764804200186,R1,R104,1.0,success,3.8446261882781982
VND,59.391764804200186,R1,R104,1,success,3.963611125946045
ILS,59.391764804200186,R1,R104,1.0,success,1.3825113773345947
GRASP,55.528228979146654,R1,R105,1.0,success,3.8621068000793457
VND,55.528228979146654,R1,R105,1,success,3.8024773597717285
ILS,55.528228979146654,R1,R105,1.0,success,1.3178703784942627
GRASP,59.391764804200186,R1,R106,1.0,success,3.8554930686950684
VND,59.391764804200186,R1,R106,1,success,3.8629519939422607
ILS,59.391764804200186,R1,R106,1.0,success,1.3573758602142334
GRASP,64.70512723358232,R1,R107,1.0,success,6.385451078414917
VND,64.70512723358232,R1,R107,1,success,6.388128280639648
ILS,79.77672893330615,R1,R107,1.0,success,1.3753280639648438
GRASP,64.70512723358232,R1,R108,1.0,success,6.489822626113892
VND,64.70512723358232,R1,R108,1,success,6.48827052116394
ILS,71.98188659749917,R1,R108,1.0,success,1.395092248916626
GRASP,59.13189564301204,R1,R109,1.0,success,6.139336585998535
VND,59.13189564301204,R1,R109,1,success,6.136066436767578
ILS,61.62825601150996,R1,R109,1.0,success,1.3727390766143799
GRASP,61.35655527146817,R1,R110,1.0,success,3.810171127319336
VND,61.35655527146817,R1,R110,1,success,3.80560040473938
ILS,61.35655527146817,R1,R110,1.0,success,1.4051454067230225
GRASP,61.856583317536284,R1,R111,1.0,success,4.779394865036011
VND,61.856583317536284,R1,R111,1,success,4.709120512008667
ILS,62.43691829841907,R1,R111,1.0,success,1.382098913192749
GRASP,65.12301683739044,R1,R112,1.0,success,4.954175233840942
VND,65.12301683739044,R1,R112,1,success,4.87616229057312
ILS,68.28515696998095,R1,R112,1.0,success,1.3819835186004639
