algorithm,d_bks,d_final,delta_K,family,feasible,gap_distance,gap_percent,hit,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GAA_Algorithm_1,828.93664,1521.9787092030783,0,C1,False,693.0420692030783,83.6061570644384,False,C101,10,10,True,success,5.678050756454468
GAA_Algorithm_2,828.93664,1103.201642272962,0,C1,False,274.2650022729621,33.08636499322338,False,C101,10,10,True,success,0.19362640380859375
GAA_Algorithm_3,828.93664,1835.9157898955027,5,C1,False,,,False,C101,10,15,False,success,0.56382155418396
GAA_Algorithm_1,828.93664,1461.36903737568,0,C1,False,632.4323973756799,76.294419483699,False,C102,10,10,True,success,5.599937677383423
GAA_Algorithm_2,828.93664,1103.201642272962,0,C1,False,274.2650022729621,33.08636499322338,False,C102,10,10,True,success,0.18767261505126953
GAA_Algorithm_3,828.93664,1868.2668662588653,4,C1,False,,,False,C102,10,14,False,success,0.6441969871520996
GAA_Algorithm_1,828.06464,1504.5004253520794,0,C1,False,676.4357853520794,81.68876590987864,False,C103,10,10,True,success,4.849960088729858
GAA_Algorithm_2,828.06464,1103.201642272962,0,C1,False,275.13700227296204,33.22651263951592,False,C103,10,10,True,success,0.1904163360595703
GAA_Algorithm_3,828.06464,1629.022996958937,1,C1,False,,,False,C103,10,11,False,success,0.7856144905090332
GAA_Algorithm_1,824.77646,1491.1846814345274,0,C1,False,666.4082214345274,80.79864711882385,False,C104,10,10,True,success,5.287212133407593
GAA_Algorithm_2,824.77646,1103.201642272962,0,C1,False,278.42518227296205,33.7576538342234,False,C104,10,10,True,success,0.18757033348083496
GAA_Algorithm_3,824.77646,1451.4964259038152,2,C1,False,,,False,C104,10,12,False,success,0.7567050457000732
GAA_Algorithm_1,828.93664,1466.7375143913632,0,C1,False,637.8008743913632,76.94205366424184,False,C105,10,10,True,success,5.377016305923462
GAA_Algorithm_2,828.93664,1103.201642272962,0,C1,False,274.2650022729621,33.08636499322338,False,C105,10,10,True,success,0.19578003883361816
GAA_Algorithm_3,828.93664,1813.3443697676894,4,C1,False,,,False,C105,10,14,False,success,0.6150848865509033
GAA_Algorithm_1,828.93664,1391.5077427239341,0,C1,False,562.5711027239341,67.86659867320307,False,C106,10,10,True,success,5.287761926651001
GAA_Algorithm_2,828.93664,1103.201642272962,0,C1,False,274.2650022729621,33.08636499322338,False,C106,10,10,True,success,0.18641209602355957
GAA_Algorithm_3,828.93664,1772.8187537725396,4,C1,False,,,False,C106,10,14,False,success,0.559689998626709
GAA_Algorithm_1,828.93664,1494.3092728454424,0,C1,False,665.3726328454424,80.26821360501599,False,C107,10,10,True,success,5.268319845199585
GAA_Algorithm_2,828.93664,1103.201642272962,0,C1,False,274.2650022729621,33.08636499322338,False,C107,10,10,True,success,0.20071077346801758
GAA_Algorithm_3,828.93664,1825.734950165757,4,C1,False,,,False,C107,10,14,False,success,0.5512475967407227
GAA_Algorithm_1,828.93664,1532.1318412774322,0,C1,False,703.1952012774321,84.83099519855126,False,C108,10,10,True,success,5.0031068325042725
GAA_Algorithm_2,828.93664,1103.201642272962,0,C1,False,274.2650022729621,33.08636499322338,False,C108,10,10,True,success,0.20972561836242676
GAA_Algorithm_3,828.93664,1601.3409906892434,2,C1,False,,,False,C108,10,12,False,success,0.646256685256958
GAA_Algorithm_1,828.93664,1503.1208079563887,0,C1,False,674.1841679563887,81.33120620128321,False,C109,10,10,True,success,4.707878828048706
GAA_Algorithm_2,828.93664,1103.201642272962,0,C1,False,274.2650022729621,33.08636499322338,False,C109,10,10,True,success,0.19114398956298828
GAA_Algorithm_3,828.93664,1661.207164687704,2,C1,False,,,False,C109,10,12,False,success,0.6587226390838623
GAA_Algorithm_1,591.55626,1822.6793187131548,7,C2,False,,,False,C201,3,10,False,success,5.142523765563965
GAA_Algorithm_2,591.55626,1148.7828528547925,7,C2,False,,,False,C201,3,10,False,success,0.1880812644958496
GAA_Algorithm_3,591.55626,1188.300881677972,7,C2,False,,,False,C201,3,10,False,success,0.8253202438354492
GAA_Algorithm_1,591.55626,1657.4139272659925,7,C2,False,,,False,C202,3,10,False,success,4.932737588882446
GAA_Algorithm_2,591.55626,1148.7828528547925,7,C2,False,,,False,C202,3,10,False,success,0.1834700107574463
GAA_Algorithm_3,591.55626,1214.2633153449974,6,C2,False,,,False,C202,3,9,False,success,0.8567643165588379
GAA_Algorithm_1,591.17315,1762.3672706013708,7,C2,False,,,False,C203,3,10,False,success,5.058899164199829
GAA_Algorithm_2,591.17315,1148.7828528547925,7,C2,False,,,False,C203,3,10,False,success,0.1879417896270752
GAA_Algorithm_3,591.17315,1204.8999444501014,7,C2,False,,,False,C203,3,10,False,success,0.8184854984283447
GAA_Algorithm_1,590.59845,1661.8032275499606,7,C2,False,,,False,C204,3,10,False,success,5.0615010261535645
GAA_Algorithm_2,590.59845,1148.7828528547925,7,C2,False,,,False,C204,3,10,False,success,0.18386530876159668
GAA_Algorithm_3,590.59845,1237.6907295741676,7,C2,False,,,False,C204,3,10,False,success,0.8317809104919434
GAA_Algorithm_1,588.87566,1744.5818793197834,7,C2,False,,,False,C205,3,10,False,success,5.18520450592041
GAA_Algorithm_2,588.87566,1148.7828528547925,7,C2,False,,,False,C205,3,10,False,success,0.18579626083374023
GAA_Algorithm_3,588.87566,1168.983190391995,7,C2,False,,,False,C205,3,10,False,success,0.8185009956359863
GAA_Algorithm_1,588.49255,1734.2277807587734,7,C2,False,,,False,C206,3,10,False,success,5.019133806228638
GAA_Algorithm_2,588.49255,1148.7828528547925,7,C2,False,,,False,C206,3,10,False,success,0.18296146392822266
GAA_Algorithm_3,588.49255,1134.3482633081046,7,C2,False,,,False,C206,3,10,False,success,0.8294224739074707
GAA_Algorithm_1,588.28602,1494.8241540044728,7,C2,False,,,False,C207,3,10,False,success,5.00131368637085
GAA_Algorithm_2,588.28602,1148.7828528547925,7,C2,False,,,False,C207,3,10,False,success,0.18175077438354492
GAA_Algorithm_3,588.28602,1211.3585658443226,7,C2,False,,,False,C207,3,10,False,success,0.7969017028808594
GAA_Algorithm_1,588.3235,1589.4520273305875,7,C2,False,,,False,C208,3,10,False,success,4.59363317489624
GAA_Algorithm_2,588.3235,1148.7828528547925,7,C2,False,,,False,C208,3,10,False,success,0.18358564376831055
GAA_Algorithm_3,588.3235,1206.3340182622821,7,C2,False,,,False,C208,3,10,False,success,0.8232653141021729
GAA_Algorithm_1,1650.79864,1428.0713231339091,-11,R1,False,,,False,R101,19,8,False,success,3.4880549907684326
GAA_Algorithm_2,1650.79864,1172.1800291715338,-11,R1,False,,,False,R101,19,8,False,success,0.16963839530944824
GAA_Algorithm_3,1650.79864,1918.9730412476035,1,R1,False,,,False,R101,19,20,False,success,0.4653148651123047
GAA_Algorithm_1,1486.85859,1481.7413040109193,-9,R1,False,,,False,R102,17,8,False,success,2.6569106578826904
GAA_Algorithm_2,1486.85859,1172.1800291715338,-9,R1,False,,,False,R102,17,8,False,success,0.17019867897033691
