algorithm,d_bks,d_final,delta_K,family,gap_distance,gap_percent,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GRASP,1650.79864,1491.7317392397847,0,R1,-159.06690076021528,-9.635754289221808,R101,19,19.0,True,success,13.010855674743652
VND,1650.79864,1491.7317392397847,0,R1,-159.06690076021528,-9.635754289221808,R101,19,19,True,success,13.190509796142578
ILS,1650.79864,791.5402505769351,-12,R1,,,R101,19,7.0,False,success,14.530989646911621
GRASP,1486.85859,1464.6866292511756,1,R1,,,R102,17,18.0,False,success,13.804556846618652
VND,1486.85859,1464.6866292511756,1,R1,,,R102,17,18,False,success,13.918282270431519
ILS,1486.85859,809.6714271724104,-9,R1,,,R102,17,8.0,False,success,9.603250503540039
GRASP,1292.67493,1255.7898470594953,1,R1,,,R103,13,14.0,False,success,8.692429542541504
VND,1292.67493,1255.7898470594953,1,R1,,,R103,13,14,False,success,8.831888675689697
ILS,1292.67493,843.382166758777,-5,R1,,,R103,13,8.0,False,success,15.897782325744629
GRASP,1007.31005,992.0394183148143,2,R1,,,R104,9,11.0,False,success,15.454430103302002
VND,1007.31005,992.0394183148143,2,R1,,,R104,9,11,False,success,15.732701778411865
ILS,1007.31005,854.2062765053995,0,R1,-153.10377349460055,-15.199269926335049,R104,9,9.0,True,success,14.702857255935669
GRASP,1377.11046,1277.8291262613516,1,R1,,,R105,14,15.0,False,success,7.792356491088867
VND,1377.11046,1277.8291262613516,1,R1,,,R105,14,15,False,success,7.862627744674683
ILS,1377.11046,951.1574377791342,-3,R1,,,R105,14,11.0,False,success,8.455953359603882
GRASP,1252.03013,1199.0378307925125,2,R1,,,R106,12,14.0,False,success,6.301202297210693
VND,1252.03013,1199.0378307925125,2,R1,,,R106,12,14,False,success,6.387211799621582
ILS,1252.03013,905.1127782820685,-2,R1,,,R106,12,10.0,False,success,8.11685299873352
GRASP,1104.65547,1081.693823480533,2,R1,,,R107,10,12.0,False,success,6.923746347427368
VND,1104.65547,1081.693823480533,2,R1,,,R107,10,12,False,success,7.144388198852539
ILS,1104.65547,828.8971781100012,-2,R1,,,R107,10,8.0,False,success,9.511027336120605
GRASP,960.87528,1003.3615092743455,1,R1,,,R108,9,10.0,False,success,6.1296913623809814
VND,960.87528,1003.3615092743455,1,R1,,,R108,9,10,False,success,6.2269439697265625
ILS,960.87528,824.5287703515153,-1,R1,,,R108,9,8.0,False,success,10.52589726448059
GRASP,1194.73359,1196.6002355611715,3,R1,,,R109,11,14.0,False,success,5.5491228103637695
VND,1194.73359,1196.6002355611715,3,R1,,,R109,11,14,False,success,5.594271421432495
ILS,1194.73359,894.5471761849317,-1,R1,,,R109,11,10.0,False,success,9.134056329727173
GRASP,1118.83808,1175.8352697972216,2,R1,,,R110,10,12.0,False,success,19.763553142547607
VND,1118.83808,1175.8352697972216,2,R1,,,R110,10,12,False,success,19.6354398727417
ILS,1118.83808,863.3593747424453,-1,R1,,,R110,10,9.0,False,success,11.606981039047241
GRASP,1096.72605,1116.076112026474,2,R1,,,R111,10,12.0,False,success,7.72346568107605
VND,1096.72605,1116.076112026474,2,R1,,,R111,10,12,False,success,7.704132080078125
ILS,1096.72605,821.430720858241,-2,R1,,,R111,10,8.0,False,success,18.77997326850891
GRASP,982.13919,1026.563358438772,2,R1,,,R112,9,11.0,False,success,18.83098793029785
VND,982.13919,1026.563358438772,2,R1,,,R112,9,11,False,success,18.96297597885132
ILS,982.13919,828.9002315161944,-1,R1,,,R112,9,8.0,False,success,14.18334674835205
