algorithm,instance_id,family,k_final,d_final,time_sec,hit,status,error
GAA_Algorithm_1,C101,C1,10,1521.9787092030783,5.619574069976807,N/A,success,
GAA_Algorithm_2,C101,C1,10,1103.201642272962,0.1956779956817627,N/A,success,
GAA_Algorithm_3,C101,C1,15,1835.9157898955027,0.552293062210083,N/A,success,
GAA_Algorithm_1,C102,C1,10,1461.36903737568,5.592352390289307,N/A,success,
GAA_Algorithm_2,C102,C1,10,1103.201642272962,0.1910228729248047,N/A,success,
GAA_Algorithm_3,C102,C1,14,1868.2668662588653,0.6551668643951416,N/A,success,
GAA_Algorithm_1,C103,C1,10,1504.5004253520794,4.861161708831787,N/A,success,
GAA_Algorithm_2,C103,C1,10,1103.201642272962,0.1878199577331543,N/A,success,
GAA_Algorithm_3,C103,C1,11,1629.022996958937,0.7757370471954346,N/A,success,
GAA_Algorithm_1,C104,C1,10,1491.1846814345274,5.172690391540527,N/A,success,
GAA_Algorithm_2,C104,C1,10,1103.201642272962,0.18791675567626953,N/A,success,
GAA_Algorithm_3,C104,C1,12,1451.4964259038152,0.7591533660888672,N/A,success,
GAA_Algorithm_1,C105,C1,10,1466.7375143913632,5.284002780914307,N/A,success,
GAA_Algorithm_2,C105,C1,10,1103.201642272962,0.19115090370178223,N/A,success,
GAA_Algorithm_3,C105,C1,14,1813.3443697676894,0.5535778999328613,N/A,success,
GAA_Algorithm_1,C106,C1,10,1391.5077427239341,5.128124237060547,N/A,success,
GAA_Algorithm_2,C106,C1,10,1103.201642272962,0.18519067764282227,N/A,success,
GAA_Algorithm_3,C106,C1,14,1772.8187537725396,0.5621051788330078,N/A,success,
GAA_Algorithm_1,C107,C1,10,1494.3092728454424,5.252445459365845,N/A,success,
GAA_Algorithm_2,C107,C1,10,1103.201642272962,0.1875014305114746,N/A,success,
GAA_Algorithm_3,C107,C1,14,1825.734950165757,0.5581660270690918,N/A,success,
GAA_Algorithm_1,C108,C1,10,1532.1318412774322,5.155935287475586,N/A,success,
GAA_Algorithm_2,C108,C1,10,1103.201642272962,0.18976092338562012,N/A,success,
GAA_Algorithm_3,C108,C1,12,1601.3409906892434,0.6523849964141846,N/A,success,
GAA_Algorithm_1,C109,C1,10,1503.1208079563887,4.859799146652222,N/A,success,
GAA_Algorithm_2,C109,C1,10,1103.201642272962,0.19317078590393066,N/A,success,
GAA_Algorithm_3,C109,C1,12,1661.207164687704,0.6706194877624512,N/A,success,
GAA_Algorithm_1,C201,C2,10,1822.6793187131548,5.18558931350708,N/A,success,
GAA_Algorithm_2,C201,C2,10,1148.7828528547925,0.19424080848693848,N/A,success,
GAA_Algorithm_3,C201,C2,10,1188.300881677972,0.8634324073791504,N/A,success,
GAA_Algorithm_1,C202,C2,10,1657.4139272659925,5.170838832855225,N/A,success,
GAA_Algorithm_2,C202,C2,10,1148.7828528547925,0.18642807006835938,N/A,success,
GAA_Algorithm_3,C202,C2,9,1214.2633153449974,0.8292486667633057,N/A,success,
GAA_Algorithm_1,C203,C2,10,1762.3672706013708,4.948151350021362,N/A,success,
GAA_Algorithm_2,C203,C2,10,1148.7828528547925,0.18183636665344238,N/A,success,
GAA_Algorithm_3,C203,C2,10,1204.8999444501014,0.7848644256591797,N/A,success,
GAA_Algorithm_1,C204,C2,10,1661.8032275499606,5.08389687538147,N/A,success,
GAA_Algorithm_2,C204,C2,10,1148.7828528547925,0.18496227264404297,N/A,success,
GAA_Algorithm_3,C204,C2,10,1237.6907295741676,0.8526773452758789,N/A,success,
GAA_Algorithm_1,C205,C2,10,1744.5818793197834,5.396313667297363,N/A,success,
GAA_Algorithm_2,C205,C2,10,1148.7828528547925,0.20537161827087402,N/A,success,
GAA_Algorithm_3,C205,C2,10,1168.983190391995,0.8639938831329346,N/A,success,
GAA_Algorithm_1,C206,C2,10,1734.2277807587734,4.977810382843018,N/A,success,
GAA_Algorithm_2,C206,C2,10,1148.7828528547925,0.2086348533630371,N/A,success,
GAA_Algorithm_3,C206,C2,10,1134.3482633081046,0.8293323516845703,N/A,success,
GAA_Algorithm_1,C207,C2,10,1494.8241540044728,4.865710973739624,N/A,success,
GAA_Algorithm_2,C207,C2,10,1148.7828528547925,0.18097519874572754,N/A,success,
GAA_Algorithm_3,C207,C2,10,1211.3585658443226,0.8049063682556152,N/A,success,
GAA_Algorithm_1,C208,C2,10,1589.4520273305875,4.5132060050964355,N/A,success,
GAA_Algorithm_2,C208,C2,10,1148.7828528547925,0.2111034393310547,N/A,success,
GAA_Algorithm_3,C208,C2,10,1206.3340182622821,0.8174862861633301,N/A,success,
GAA_Algorithm_1,R101,R1,8,1428.0713231339091,3.5553581714630127,N/A,success,
GAA_Algorithm_2,R101,R1,8,1172.1800291715338,0.1727306842803955,N/A,success,
GAA_Algorithm_3,R101,R1,20,1918.9730412476035,0.4544947147369385,N/A,success,
GAA_Algorithm_1,R102,R1,8,1481.7413040109193,2.6450178623199463,N/A,success,
GAA_Algorithm_2,R102,R1,8,1172.1800291715338,0.16742205619812012,N/A,success,
GAA_Algorithm_3,R102,R1,19,1896.3451530965842,0.5941407680511475,N/A,success,
GAA_Algorithm_1,R103,R1,8,1401.9104281950233,2.812913417816162,N/A,success,
GAA_Algorithm_2,R103,R1,8,1172.1800291715338,0.1718454360961914,N/A,success,
GAA_Algorithm_3,R103,R1,15,1583.53454367954,0.6476247310638428,N/A,success,
GAA_Algorithm_1,R104,R1,8,1262.523276835775,3.5366337299346924,N/A,success,
GAA_Algorithm_2,R104,R1,8,1172.1800291715338,0.16962337493896484,N/A,success,
GAA_Algorithm_3,R104,R1,11,1239.4339893445847,0.7437613010406494,N/A,success,
GAA_Algorithm_1,R105,R1,8,1398.0246961159207,2.9203290939331055,N/A,success,
GAA_Algorithm_2,R105,R1,8,1172.1800291715338,0.1653590202331543,N/A,success,
GAA_Algorithm_3,R105,R1,16,1606.2052147348402,0.5464074611663818,N/A,success,
GAA_Algorithm_1,R106,R1,8,1430.2290438474902,3.375833511352539,N/A,success,
GAA_Algorithm_2,R106,R1,8,1172.1800291715338,0.17065906524658203,N/A,success,
GAA_Algorithm_3,R106,R1,16,1658.1193202808224,0.6159617900848389,N/A,success,
GAA_Algorithm_1,R107,R1,8,1317.5601481425956,3.5391688346862793,N/A,success,
GAA_Algorithm_2,R107,R1,8,1172.1800291715338,0.17606163024902344,N/A,success,
GAA_Algorithm_3,R107,R1,14,1472.1475144689014,0.6790640354156494,N/A,success,
GAA_Algorithm_1,R108,R1,8,1408.6035541567367,3.242218017578125,N/A,success,
GAA_Algorithm_2,R108,R1,8,1172.1800291715338,0.17084002494812012,N/A,success,
GAA_Algorithm_3,R108,R1,11,1286.6958070262056,0.7684371471405029,N/A,success,
GAA_Algorithm_1,R109,R1,8,1282.9823440508333,3.620215892791748,N/A,success,
GAA_Algorithm_2,R109,R1,8,1172.1800291715338,0.1711866855621338,N/A,success,
GAA_Algorithm_3,R109,R1,14,1465.5156044052171,0.7104823589324951,N/A,success,
GAA_Algorithm_1,R110,R1,8,1271.3301210536724,3.7970759868621826,N/A,success,
GAA_Algorithm_2,R110,R1,8,1172.1800291715338,0.18114185333251953,N/A,success,
GAA_Algorithm_3,R110,R1,12,1367.8203693554192,0.6984319686889648,N/A,success,
GAA_Algorithm_1,R111,R1,8,1392.7372141586459,2.635895252227783,N/A,success,
GAA_Algorithm_2,R111,R1,8,1172.1800291715338,0.17023134231567383,N/A,success,
GAA_Algorithm_3,R111,R1,13,1328.948291065708,0.6880133152008057,N/A,success,
GAA_Algorithm_1,R112,R1,8,1351.6204441270556,3.154426097869873,N/A,success,
GAA_Algorithm_2,R112,R1,8,1172.1800291715338,0.15860915184020996,N/A,success,
GAA_Algorithm_3,R112,R1,11,1228.2957939133044,0.6385650634765625,N/A,success,
GAA_Algorithm_1,R201,R2,8,1295.869380467507,2.8741703033447266,N/A,success,
GAA_Algorithm_2,R201,R2,8,1172.1800291715338,0.15677213668823242,N/A,success,
GAA_Algorithm_3,R201,R2,8,1160.1387854138598,0.9832181930541992,N/A,success,
GAA_Algorithm_1,R202,R2,8,1344.298140158541,2.538496255874634,N/A,success,
GAA_Algorithm_2,R202,R2,8,1172.1800291715338,0.15769219398498535,N/A,success,
GAA_Algorithm_3,R202,R2,8,1131.944963010297,0.9432327747344971,N/A,success,
GAA_Algorithm_1,R203,R2,8,1339.9927887937176,3.458519220352173,N/A,success,
GAA_Algorithm_2,R203,R2,8,1172.1800291715338,0.15773916244506836,N/A,success,
GAA_Algorithm_3,R203,R2,8,1050.878396224219,0.9732043743133545,N/A,success,
GAA_Algorithm_1,R204,R2,8,1275.9094077227346,3.544511318206787,N/A,success,
GAA_Algorithm_2,R204,R2,8,1172.1800291715338,0.15542364120483398,N/A,success,
GAA_Algorithm_3,R204,R2,7,1018.2067041012627,1.0300073623657227,N/A,success,
GAA_Algorithm_1,R205,R2,8,1313.2181876840573,2.134793519973755,N/A,success,
GAA_Algorithm_2,R205,R2,8,1172.1800291715338,0.16311025619506836,N/A,success,
GAA_Algorithm_3,R205,R2,7,1067.094114519817,0.9891343116760254,N/A,success,
GAA_Algorithm_1,R206,R2,8,1483.1889345283125,2.881168842315674,N/A,success,
GAA_Algorithm_2,R206,R2,8,1172.1800291715338,0.15595555305480957,N/A,success,
GAA_Algorithm_3,R206,R2,8,1055.815025532367,1.0022284984588623,N/A,success,
GAA_Algorithm_1,R207,R2,8,1335.042697486502,2.4904613494873047,N/A,success,
GAA_Algorithm_2,R207,R2,8,1172.1800291715338,0.15936875343322754,N/A,success,
GAA_Algorithm_3,R207,R2,7,1021.5587445410616,0.9929242134094238,N/A,success,
GAA_Algorithm_1,R208,R2,8,1292.9383851140806,3.6872494220733643,N/A,success,
GAA_Algorithm_2,R208,R2,8,1172.1800291715338,0.16816186904907227,N/A,success,
GAA_Algorithm_3,R208,R2,7,1003.7083533666079,1.0164453983306885,N/A,success,
GAA_Algorithm_1,R209,R2,8,1424.6918177624443,2.337040662765503,N/A,success,
GAA_Algorithm_2,R209,R2,8,1172.1800291715338,0.1615123748779297,N/A,success,
GAA_Algorithm_3,R209,R2,7,1064.808617040968,1.0100371837615967,N/A,success,
GAA_Algorithm_1,R210,R2,8,1212.658853163821,3.1138815879821777,N/A,success,
GAA_Algorithm_2,R210,R2,8,1172.1800291715338,0.15757489204406738,N/A,success,
GAA_Algorithm_3,R210,R2,7,979.435523232594,1.0633704662322998,N/A,success,
GAA_Algorithm_1,R211,R2,8,1500.3058112340673,2.6759674549102783,N/A,success,
GAA_Algorithm_2,R211,R2,8,1172.1800291715338,0.16205143928527832,N/A,success,
GAA_Algorithm_3,R211,R2,7,979.435523232594,1.0219120979309082,N/A,success,
GAA_Algorithm_1,RC101,RC1,9,1669.4401191442964,2.9206690788269043,N/A,success,
GAA_Algorithm_2,RC101,RC1,9,1257.722710887136,0.17879128456115723,N/A,success,
GAA_Algorithm_3,RC101,RC1,18,2181.377446212613,0.41577577590942383,N/A,success,
GAA_Algorithm_1,RC102,RC1,9,1793.8060291938907,2.6597752571105957,N/A,success,
GAA_Algorithm_2,RC102,RC1,9,1257.722710887136,0.1843547821044922,N/A,success,
GAA_Algorithm_3,RC102,RC1,15,2046.3838854559087,0.5299341678619385,N/A,success,
GAA_Algorithm_1,RC103,RC1,9,1825.311292365767,2.9563896656036377,N/A,success,
GAA_Algorithm_2,RC103,RC1,9,1257.722710887136,0.18095993995666504,N/A,success,
GAA_Algorithm_3,RC103,RC1,14,1769.3817458761093,0.5904808044433594,N/A,success,
GAA_Algorithm_1,RC104,RC1,9,1773.3609903628462,2.702641487121582,N/A,success,
GAA_Algorithm_2,RC104,RC1,9,1257.722710887136,0.18729567527770996,N/A,success,
