algorithm,instance_id,family,k_final,d_final,time_sec,hit,status,error
GAA_Algorithm_1,R101,R1,8,1502.195928477025,3.2330989837646484,N/A,success,
GAA_Algorithm_2,R101,R1,8,1172.1800291715338,0.18456697463989258,N/A,success,
GAA_Algorithm_3,R101,R1,20,1918.9730412476035,0.4893021583557129,N/A,success,
GAA_Algorithm_1,R102,R1,8,1322.5517629919175,3.2888705730438232,N/A,success,
GAA_Algorithm_2,R102,R1,8,1172.1800291715338,0.17006421089172363,N/A,success,
GAA_Algorithm_3,R102,R1,19,1896.3451530965842,0.6116132736206055,N/A,success,
GAA_Algorithm_1,R103,R1,8,1274.513462902278,4.318563222885132,N/A,success,
GAA_Algorithm_2,R103,R1,8,1172.1800291715338,0.17197370529174805,N/A,success,
GAA_Algorithm_3,R103,R1,15,1583.53454367954,0.6755032539367676,N/A,success,
GAA_Algorithm_1,R104,R1,8,1436.3647446545858,3.5646021366119385,N/A,success,
GAA_Algorithm_2,R104,R1,8,1172.1800291715338,0.17097806930541992,N/A,success,
GAA_Algorithm_3,R104,R1,11,1239.4339893445847,0.7762322425842285,N/A,success,
GAA_Algorithm_1,R105,R1,8,1507.6608267705956,3.5192437171936035,N/A,success,
GAA_Algorithm_2,R105,R1,8,1172.1800291715338,0.17553424835205078,N/A,success,
GAA_Algorithm_3,R105,R1,16,1606.2052147348402,0.5878546237945557,N/A,success,
GAA_Algorithm_1,R106,R1,8,1427.2451188248494,3.392406702041626,N/A,success,
GAA_Algorithm_2,R106,R1,8,1172.1800291715338,0.20459222793579102,N/A,success,
GAA_Algorithm_3,R106,R1,16,1658.1193202808224,0.6923820972442627,N/A,success,
GAA_Algorithm_1,R107,R1,8,1371.344643352995,2.5465118885040283,N/A,success,
GAA_Algorithm_2,R107,R1,8,1172.1800291715338,0.20888853073120117,N/A,success,
GAA_Algorithm_3,R107,R1,14,1472.1475144689014,0.7088828086853027,N/A,success,
GAA_Algorithm_1,R108,R1,8,1398.536370392606,2.7983999252319336,N/A,success,
GAA_Algorithm_2,R108,R1,8,1172.1800291715338,0.17053866386413574,N/A,success,
GAA_Algorithm_3,R108,R1,11,1286.6958070262056,0.8308327198028564,N/A,success,
GAA_Algorithm_1,R109,R1,8,1321.8460266452073,3.3957738876342773,N/A,success,
GAA_Algorithm_2,R109,R1,8,1172.1800291715338,0.17904448509216309,N/A,success,
GAA_Algorithm_3,R109,R1,14,1465.5156044052171,0.6406066417694092,N/A,success,
GAA_Algorithm_1,R110,R1,8,1412.3933888830386,2.9313910007476807,N/A,success,
GAA_Algorithm_2,R110,R1,8,1172.1800291715338,0.17252779006958008,N/A,success,
GAA_Algorithm_3,R110,R1,12,1367.8203693554192,0.7076902389526367,N/A,success,
GAA_Algorithm_1,R111,R1,8,1322.5107066669314,3.1350367069244385,N/A,success,
GAA_Algorithm_2,R111,R1,8,1172.1800291715338,0.17202997207641602,N/A,success,
GAA_Algorithm_3,R111,R1,13,1328.948291065708,0.7025721073150635,N/A,success,
GAA_Algorithm_1,R112,R1,8,1400.8985781045903,3.791919469833374,N/A,success,
GAA_Algorithm_2,R112,R1,8,1172.1800291715338,0.1969904899597168,N/A,success,
GAA_Algorithm_3,R112,R1,11,1228.2957939133044,0.74855637550354,N/A,success,
