algorithm,instance_id,family,k_final,d_final,time_sec,hit,status,error
GAA_Algorithm_1,R101,R1,8,1502.195928477025,3.257111072540283,N/A,success,
GAA_Algorithm_2,R101,R1,8,1172.1800291715338,0.17939090728759766,N/A,success,
GAA_Algorithm_3,R101,R1,20,1918.9730412476035,0.4821767807006836,N/A,success,
GAA_Algorithm_1,R102,R1,8,1322.5517629919175,3.3009471893310547,N/A,success,
GAA_Algorithm_2,R102,R1,8,1172.1800291715338,0.17239069938659668,N/A,success,
GAA_Algorithm_3,R102,R1,19,1896.3451530965842,0.6190352439880371,N/A,success,
GAA_Algorithm_1,R103,R1,8,1274.513462902278,4.320752859115601,N/A,success,
GAA_Algorithm_2,R103,R1,8,1172.1800291715338,0.17470574378967285,N/A,success,
GAA_Algorithm_3,R103,R1,15,1583.53454367954,0.6802957057952881,N/A,success,
GAA_Algorithm_1,R104,R1,8,1436.3647446545858,3.622711658477783,N/A,success,
GAA_Algorithm_2,R104,R1,8,1172.1800291715338,0.17121076583862305,N/A,success,
GAA_Algorithm_3,R104,R1,11,1239.4339893445847,0.7775895595550537,N/A,success,
GAA_Algorithm_1,R105,R1,8,1507.6608267705956,3.5194180011749268,N/A,success,
GAA_Algorithm_2,R105,R1,8,1172.1800291715338,0.17525601387023926,N/A,success,
GAA_Algorithm_3,R105,R1,16,1606.2052147348402,0.576268196105957,N/A,success,
GAA_Algorithm_1,R106,R1,8,1427.2451188248494,3.392455816268921,N/A,success,
GAA_Algorithm_2,R106,R1,8,1172.1800291715338,0.17442965507507324,N/A,success,
GAA_Algorithm_3,R106,R1,16,1658.1193202808224,0.6519174575805664,N/A,success,
GAA_Algorithm_1,R107,R1,8,1371.344643352995,2.493459463119507,N/A,success,
GAA_Algorithm_2,R107,R1,8,1172.1800291715338,0.17502570152282715,N/A,success,
GAA_Algorithm_3,R107,R1,14,1472.1475144689014,0.7171401977539062,N/A,success,
GAA_Algorithm_1,R108,R1,8,1398.536370392606,2.8011932373046875,N/A,success,
GAA_Algorithm_2,R108,R1,8,1172.1800291715338,0.17358160018920898,N/A,success,
GAA_Algorithm_3,R108,R1,11,1286.6958070262056,0.7905395030975342,N/A,success,
GAA_Algorithm_1,R109,R1,8,1321.8460266452073,3.39266037940979,N/A,success,
GAA_Algorithm_2,R109,R1,8,1172.1800291715338,0.1742846965789795,N/A,success,
GAA_Algorithm_3,R109,R1,14,1465.5156044052171,0.6411502361297607,N/A,success,
GAA_Algorithm_1,R110,R1,8,1412.3933888830386,2.888198137283325,N/A,success,
GAA_Algorithm_2,R110,R1,8,1172.1800291715338,0.17276525497436523,N/A,success,
GAA_Algorithm_3,R110,R1,12,1367.8203693554192,0.7064452171325684,N/A,success,
GAA_Algorithm_1,R111,R1,8,1322.5107066669314,3.09914493560791,N/A,success,
GAA_Algorithm_2,R111,R1,8,1172.1800291715338,0.17376995086669922,N/A,success,
GAA_Algorithm_3,R111,R1,13,1328.948291065708,0.7007675170898438,N/A,success,
GAA_Algorithm_1,R112,R1,8,1400.8985781045903,3.751035213470459,N/A,success,
GAA_Algorithm_2,R112,R1,8,1172.1800291715338,0.17185521125793457,N/A,success,
GAA_Algorithm_3,R112,R1,11,1228.2957939133044,0.7310988903045654,N/A,success,
