algorithm,d_bks,d_final,delta_K,family,feasible,hit,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GAA_Algorithm_1,1650.79864,1502.195928477025,-11,R1,False,False,R101,19,8,False,success,3.23832106590271
GAA_Algorithm_2,1650.79864,1172.1800291715338,-11,R1,False,False,R101,19,8,False,success,0.17263126373291016
GAA_Algorithm_3,1650.79864,1918.9730412476035,1,R1,False,False,R101,19,20,False,success,0.482041597366333
GAA_Algorithm_1,1486.85859,1322.5517629919175,-9,R1,False,False,R102,17,8,False,success,3.337064743041992
GAA_Algorithm_2,1486.85859,1172.1800291715338,-9,R1,False,False,R102,17,8,False,success,0.17017912864685059
GAA_Algorithm_3,1486.85859,1896.3451530965842,2,R1,False,False,R102,17,19,False,success,0.6114311218261719
GAA_Algorithm_1,1292.67493,1274.513462902278,-5,R1,False,False,R103,13,8,False,success,4.311005592346191
GAA_Algorithm_2,1292.67493,1172.1800291715338,-5,R1,False,False,R103,13,8,False,success,0.1701207160949707
GAA_Algorithm_3,1292.67493,1583.53454367954,2,R1,False,False,R103,13,15,False,success,0.679938554763794
GAA_Algorithm_1,1007.31005,1436.3647446545858,-1,R1,False,False,R104,9,8,False,success,3.6224324703216553
GAA_Algorithm_2,1007.31005,1172.1800291715338,-1,R1,False,False,R104,9,8,False,success,0.1709139347076416
GAA_Algorithm_3,1007.31005,1239.4339893445847,2,R1,False,False,R104,9,11,False,success,0.7807052135467529
GAA_Algorithm_1,1377.11046,1507.6608267705956,-6,R1,False,False,R105,14,8,False,success,3.5048234462738037
GAA_Algorithm_2,1377.11046,1172.1800291715338,-6,R1,False,False,R105,14,8,False,success,0.1703786849975586
GAA_Algorithm_3,1377.11046,1606.2052147348402,2,R1,False,False,R105,14,16,False,success,0.5733015537261963
GAA_Algorithm_1,1252.03013,1427.2451188248494,-4,R1,False,False,R106,12,8,False,success,3.336146831512451
GAA_Algorithm_2,1252.03013,1172.1800291715338,-4,R1,False,False,R106,12,8,False,success,0.17403268814086914
GAA_Algorithm_3,1252.03013,1658.1193202808224,4,R1,False,False,R106,12,16,False,success,0.6305794715881348
GAA_Algorithm_1,1104.65547,1371.344643352995,-2,R1,False,False,R107,10,8,False,success,2.4588727951049805
GAA_Algorithm_2,1104.65547,1172.1800291715338,-2,R1,False,False,R107,10,8,False,success,0.1728968620300293
GAA_Algorithm_3,1104.65547,1472.1475144689014,4,R1,False,False,R107,10,14,False,success,0.7054798603057861
GAA_Algorithm_1,960.87528,1398.536370392606,-1,R1,False,False,R108,9,8,False,success,2.8023672103881836
GAA_Algorithm_2,960.87528,1172.1800291715338,-1,R1,False,False,R108,9,8,False,success,0.17350196838378906
GAA_Algorithm_3,960.87528,1286.6958070262056,2,R1,False,False,R108,9,11,False,success,0.7958166599273682
GAA_Algorithm_1,1194.73359,1321.8460266452073,-3,R1,False,False,R109,11,8,False,success,3.345057725906372
GAA_Algorithm_2,1194.73359,1172.1800291715338,-3,R1,False,False,R109,11,8,False,success,0.1690821647644043
GAA_Algorithm_3,1194.73359,1465.5156044052171,3,R1,False,False,R109,11,14,False,success,0.6414620876312256
GAA_Algorithm_1,1118.83808,1412.3933888830386,-2,R1,False,False,R110,10,8,False,success,2.876958131790161
GAA_Algorithm_2,1118.83808,1172.1800291715338,-2,R1,False,False,R110,10,8,False,success,0.1697399616241455
GAA_Algorithm_3,1118.83808,1367.8203693554192,2,R1,False,False,R110,10,12,False,success,0.6962289810180664
GAA_Algorithm_1,1096.72605,1322.5107066669314,-2,R1,False,False,R111,10,8,False,success,3.0880017280578613
GAA_Algorithm_2,1096.72605,1172.1800291715338,-2,R1,False,False,R111,10,8,False,success,0.17048907279968262
GAA_Algorithm_3,1096.72605,1328.948291065708,3,R1,False,False,R111,10,13,False,success,0.7064650058746338
GAA_Algorithm_1,982.13919,1400.8985781045903,-1,R1,False,False,R112,9,8,False,success,3.7801263332366943
GAA_Algorithm_2,982.13919,1172.1800291715338,-1,R1,False,False,R112,9,8,False,success,0.1720576286315918
GAA_Algorithm_3,982.13919,1228.2957939133044,2,R1,False,False,R112,9,11,False,success,0.7447161674499512
