instance_id,family,k_final,d_final,bks,gap_abs,gap_pct,time_sec
R101,R1,8,1172.1800291715338,1650.8,-478.6199708284662,-28.99,0.1755144596099853
RC101,RC1,9,1257.722710887136,1696.94,-439.21728911286414,-25.88,0.174067735671997
RC105,RC1,9,1257.722710887136,1629.44,-371.71728911286414,-22.81,0.1844387054443359
R102,R1,8,1172.1800291715338,1486.12,-313.93997082846613,-21.12,0.1714344024658203
RC102,RC1,9,1257.722710887136,1554.75,-297.0272891128641,-19.1,0.1779506206512451
R105,R1,8,1172.1800291715338,1377.11,-204.92997082846614,-14.88,0.1682231426239013
RC106,RC1,9,1257.722710887136,1446.43,-188.70728911286415,-13.05,0.1779026985168457
RC201,RC2,9,1257.722710887136,1406.91,-149.18728911286416,-10.6,0.1766891479492187
R103,R1,8,1172.1800291715338,1292.65,-120.46997082846633,-9.32,0.1722135543823242
RC202,RC2,9,1257.722710887136,1365.64,-107.91728911286418,-7.9,0.1844980716705322
R106,R1,8,1172.1800291715338,1252.89,-80.70997082846634,-6.44,0.1980855464935302
R201,R2,8,1172.1800291715338,1252.37,-80.18997082846613,-6.4,0.1578941345214843
RC107,RC1,9,1257.722710887136,1298.76,-41.03728911286407,-3.16,0.1816556453704834
RC205,RC2,9,1257.722710887136,1297.65,-39.92728911286417,-3.08,0.202080488204956
R109,R1,8,1172.1800291715338,1194.73,-22.549970828466257,-1.89,0.1663117408752441
R202,R2,8,1172.1800291715338,1191.7,-19.519970828466285,-1.64,0.157909870147705
RC103,RC1,9,1257.722710887136,1258.0,-0.2772891128640822,-0.02,0.179032564163208
R110,R1,8,1172.1800291715338,1118.6,53.58002917153385,4.79,0.1640105247497558
R107,R1,8,1172.1800291715338,1104.86,67.32002917153386,6.09,0.1661889553070068
R111,R1,8,1172.1800291715338,1096.72,75.46002917153373,6.88,0.1659321784973144
R104,R1,8,1172.1800291715338,1084.39,87.79002917153366,8.1,0.163964033126831
RC206,RC2,9,1257.722710887136,1143.32,114.40271088713598,10.01,0.1787505149841308
RC104,RC1,9,1257.722710887136,1132.33,125.39271088713599,11.07,0.1749131679534912
RC108,RC1,9,1257.722710887136,1117.75,139.97271088713592,12.52,0.1769289970397949
R205,R2,8,1172.1800291715338,994.42,177.7600291715338,17.88,0.1541557312011718
RC203,RC2,9,1257.722710887136,1057.46,200.26271088713588,18.94,0.1796708106994629
R108,R1,8,1172.1800291715338,960.88,211.30002917153377,21.99,0.1657230854034423
R112,R1,8,1172.1800291715338,948.14,224.04002917153377,23.63,0.1555843353271484
R203,R2,8,1172.1800291715338,939.54,232.6400291715338,24.76,0.1556544303894043
R210,R2,8,1172.1800291715338,939.49,232.69002917153375,24.77,0.154477834701538
R209,R2,8,1172.1800291715338,909.13,263.05002917153377,28.93,0.1570603847503662
R206,R2,8,1172.1800291715338,906.14,266.0400291715338,29.36,0.1824591159820556
R207,R2,8,1172.1800291715338,890.84,281.34002917153373,31.58,0.1588938236236572
R211,R2,8,1172.1800291715338,885.84,286.34002917153373,32.32,0.1551008224487304
C101,C1,10,1103.201642272962,828.94,274.26164227296204,33.09,0.1950447559356689
C104,C1,10,1103.201642272962,828.94,274.26164227296204,33.09,0.1843683719635009
C105,C1,10,1103.201642272962,828.94,274.26164227296204,33.09,0.186774730682373
C106,C1,10,1103.201642272962,828.94,274.26164227296204,33.09,0.1832203865051269
C107,C1,10,1103.201642272962,828.94,274.26164227296204,33.09,0.1844608783721923
C108,C1,10,1103.201642272962,828.94,274.26164227296204,33.09,0.1854851245880127
C109,C1,10,1103.201642272962,828.94,274.26164227296204,33.09,0.1860811710357666
C102,C1,10,1103.201642272962,828.94,274.26164227296204,33.09,0.1858055591583252
C103,C1,10,1103.201642272962,828.94,274.26164227296204,33.09,0.1852834224700927
R204,R2,8,1172.1800291715338,825.52,346.6600291715338,41.99,0.1575615406036377
RC204,RC2,9,1257.722710887136,798.46,459.2627108871359,57.52,0.1898510456085205
R208,R2,8,1172.1800291715338,726.82,445.3600291715337,61.28,0.157102346420288
C206,C2,10,1148.7828528547925,589.86,558.9228528547925,94.76,0.1789569854736328
C207,C2,10,1148.7828528547925,589.86,558.9228528547925,94.76,0.1757693290710449
C208,C2,10,1148.7828528547925,589.86,558.9228528547925,94.76,0.1822702884674072
C201,C2,10,1148.7828528547925,589.86,558.9228528547925,94.76,0.1826319694519043
C202,C2,10,1148.7828528547925,589.86,558.9228528547925,94.76,0.176020860671997
C203,C2,10,1148.7828528547925,589.86,558.9228528547925,94.76,0.1781182289123535
C204,C2,10,1148.7828528547925,589.86,558.9228528547925,94.76,0.1773593425750732
C205,C2,10,1148.7828528547925,589.86,558.9228528547925,94.76,0.1796660423278808
RC207,RC2,9,1257.722710887136,,,,0.1787159442901611
RC208,RC2,9,1257.722710887136,,,,0.1788771152496338
