Instance,Reference_Value,Reference_Type,GAA_Value,GAP_Absolute,GAP_Percent,Is_Optimal,Iterations,Time_s,Vertices,Edges
flat1000_50_0,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.000561,1000,245000
flat1000_60_0,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.001129,1000,245830
flat1000_76_0,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.001151,1000,246708
flat300_20_0,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.000447,300,21375
flat300_26_0,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.000187,300,21633
flat300_28_0,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.000609,300,21695
