algorithm,d_final,family,instance_id,k_final,status,time_sec
GRASP,54.007529346594374,R1,R101,1.0,success,4.848755598068237
VND,54.007529346594374,R1,R101,1,success,4.918277263641357
ILS,55.27296525778705,R1,R101,1.0,success,1.5200138092041016
GRASP,59.09300324849883,R1,R102,1.0,success,6.147057056427002
VND,59.09300324849883,R1,R102,1,success,6.154998064041138
ILS,62.33145947244955,R1,R102,1.0,success,1.3257949352264404
GRASP,67.37639870697338,R1,R103,1.0,success,4.525725603103638
VND,67.37639870697338,R1,R103,1,success,4.5466578006744385
ILS,68.3051777498693,R1,R103,1.0,success,1.3282430171966553
GRASP,59.391764804200186,R1,R104,1.0,success,4.1030802726745605
VND,59.391764804200186,R1,R104,1,success,5.620689153671265
ILS,59.391764804200186,R1,R104,1.0,success,1.8940341472625732
GRASP,55.528228979146654,R1,R105,1.0,success,5.6106932163238525
VND,55.528228979146654,R1,R105,1,success,5.436966180801392
ILS,55.528228979146654,R1,R105,1.0,success,1.8640716075897217
GRASP,59.391764804200186,R1,R106,1.0,success,5.373007535934448
VND,59.391764804200186,R1,R106,1,success,5.519815444946289
ILS,59.391764804200186,R1,R106,1.0,success,1.8892087936401367
GRASP,64.70512723358232,R1,R107,1.0,success,8.59250783920288
VND,64.70512723358232,R1,R107,1,success,8.636329412460327
ILS,79.77672893330615,R1,R107,1.0,success,1.7814619541168213
GRASP,64.70512723358232,R1,R108,1.0,success,8.426862716674805
VND,64.70512723358232,R1,R108,1,success,8.633334875106812
ILS,71.98188659749917,R1,R108,1.0,success,1.8524250984191895
GRASP,59.13189564301204,R1,R109,1.0,success,8.175078868865967
VND,59.13189564301204,R1,R109,1,success,7.024961471557617
ILS,61.62825601150996,R1,R109,1.0,success,1.3529589176177979
GRASP,61.35655527146817,R1,R110,1.0,success,3.654402732849121
VND,61.35655527146817,R1,R110,1,success,3.7143075466156006
ILS,61.35655527146817,R1,R110,1.0,success,1.3045365810394287
GRASP,61.856583317536284,R1,R111,1.0,success,4.530656576156616
VND,61.856583317536284,R1,R111,1,success,4.516400575637817
ILS,62.43691829841907,R1,R111,1.0,success,1.3221218585968018
GRASP,65.12301683739044,R1,R112,1.0,success,4.647125720977783
VND,65.12301683739044,R1,R112,1,success,4.652471542358398
ILS,68.28515696998095,R1,R112,1.0,success,1.305351734161377
