algorithm,d_bks,d_final,delta_K,family,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GRASP,1650.79864,54.007529346594374,-18,R1,R101,19,1.0,False,success,4.829452276229858
VND,1650.79864,54.007529346594374,-18,R1,R101,19,1,False,success,4.845641136169434
ILS,1650.79864,55.27296525778705,-18,R1,R101,19,1.0,False,success,1.517765998840332
GRASP,1486.85859,59.09300324849883,-16,R1,R102,17,1.0,False,success,5.9881908893585205
VND,1486.85859,59.09300324849883,-16,R1,R102,17,1,False,success,6.052490711212158
ILS,1486.85859,62.33145947244955,-16,R1,R102,17,1.0,False,success,1.2807936668395996
GRASP,1292.67493,67.37639870697338,-12,R1,R103,13,1.0,False,success,4.9360363483428955
VND,1292.67493,67.37639870697338,-12,R1,R103,13,1,False,success,6.781102895736694
ILS,1292.67493,68.3051777498693,-12,R1,R103,13,1.0,False,success,2.0048646926879883
GRASP,1007.31005,59.391764804200186,-8,R1,R104,9,1.0,False,success,5.316541910171509
VND,1007.31005,59.391764804200186,-8,R1,R104,9,1,False,success,5.274630069732666
ILS,1007.31005,59.391764804200186,-8,R1,R104,9,1.0,False,success,1.9147825241088867
GRASP,1377.11046,55.528228979146654,-13,R1,R105,14,1.0,False,success,4.459986925125122
VND,1377.11046,55.528228979146654,-13,R1,R105,14,1,False,success,3.729830741882324
ILS,1377.11046,55.528228979146654,-13,R1,R105,14,1.0,False,success,1.3187849521636963
GRASP,1252.03013,59.391764804200186,-11,R1,R106,12,1.0,False,success,3.8561363220214844
VND,1252.03013,59.391764804200186,-11,R1,R106,12,1,False,success,3.7891769409179688
ILS,1252.03013,59.391764804200186,-11,R1,R106,12,1.0,False,success,1.319798469543457
GRASP,1104.65547,64.70512723358232,-9,R1,R107,10,1.0,False,success,6.102001667022705
VND,1104.65547,64.70512723358232,-9,R1,R107,10,1,False,success,6.166928052902222
ILS,1104.65547,79.77672893330615,-9,R1,R107,10,1.0,False,success,1.2918736934661865
GRASP,960.87528,64.70512723358232,-8,R1,R108,9,1.0,False,success,6.06492018699646
VND,960.87528,64.70512723358232,-8,R1,R108,9,1,False,success,6.179798126220703
ILS,960.87528,71.98188659749917,-8,R1,R108,9,1.0,False,success,1.309079885482788
GRASP,1194.73359,59.13189564301204,-10,R1,R109,11,1.0,False,success,5.835930347442627
VND,1194.73359,59.13189564301204,-10,R1,R109,11,1,False,success,5.88124942779541
ILS,1194.73359,61.62825601150996,-10,R1,R109,11,1.0,False,success,1.302765130996704
GRASP,1118.83808,61.35655527146817,-9,R1,R110,10,1.0,False,success,3.613938331604004
VND,1118.83808,61.35655527146817,-9,R1,R110,10,1,False,success,3.6146340370178223
ILS,1118.83808,61.35655527146817,-9,R1,R110,10,1.0,False,success,1.3043336868286133
GRASP,1096.72605,61.856583317536284,-9,R1,R111,10,1.0,False,success,4.496707201004028
VND,1096.72605,61.856583317536284,-9,R1,R111,10,1,False,success,4.499054908752441
ILS,1096.72605,62.43691829841907,-9,R1,R111,10,1.0,False,success,1.3104195594787598
GRASP,982.13919,65.12301683739044,-8,R1,R112,9,1.0,False,success,4.686389446258545
VND,982.13919,65.12301683739044,-8,R1,R112,9,1,False,success,5.294378042221069
ILS,982.13919,68.28515696998095,-8,R1,R112,9,1.0,False,success,1.8480706214904785
