algorithm,d_bks,d_final,delta_K,family,feasible,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GAA_Algorithm_1,1650.79864,1502.195928477025,-11,R1,False,R101,19,8,False,success,3.369553327560425
GAA_Algorithm_2,1650.79864,1172.1800291715338,-11,R1,False,R101,19,8,False,success,0.18594813346862793
GAA_Algorithm_3,1650.79864,1918.9730412476035,1,R1,False,R101,19,20,False,success,0.5053608417510986
GAA_Algorithm_1,1486.85859,1322.5517629919175,-9,R1,False,R102,17,8,False,success,3.494637966156006
GAA_Algorithm_2,1486.85859,1172.1800291715338,-9,R1,False,R102,17,8,False,success,0.17816448211669922
GAA_Algorithm_3,1486.85859,1896.3451530965842,2,R1,False,R102,17,19,False,success,0.6274199485778809
GAA_Algorithm_1,1292.67493,1274.513462902278,-5,R1,False,R103,13,8,False,success,4.473564147949219
GAA_Algorithm_2,1292.67493,1172.1800291715338,-5,R1,False,R103,13,8,False,success,0.17917680740356445
GAA_Algorithm_3,1292.67493,1583.53454367954,2,R1,False,R103,13,15,False,success,0.6855528354644775
GAA_Algorithm_1,1007.31005,1436.3647446545858,-1,R1,False,R104,9,8,False,success,3.7258806228637695
GAA_Algorithm_2,1007.31005,1172.1800291715338,-1,R1,False,R104,9,8,False,success,0.17913269996643066
GAA_Algorithm_3,1007.31005,1239.4339893445847,2,R1,False,R104,9,11,False,success,0.8013677597045898
GAA_Algorithm_1,1377.11046,1507.6608267705956,-6,R1,False,R105,14,8,False,success,3.5905673503875732
GAA_Algorithm_2,1377.11046,1172.1800291715338,-6,R1,False,R105,14,8,False,success,0.17835164070129395
GAA_Algorithm_3,1377.11046,1606.2052147348402,2,R1,False,R105,14,16,False,success,0.5785415172576904
GAA_Algorithm_1,1252.03013,1427.2451188248494,-4,R1,False,R106,12,8,False,success,3.411203384399414
GAA_Algorithm_2,1252.03013,1172.1800291715338,-4,R1,False,R106,12,8,False,success,0.1742088794708252
GAA_Algorithm_3,1252.03013,1658.1193202808224,4,R1,False,R106,12,16,False,success,0.6568984985351562
GAA_Algorithm_1,1104.65547,1371.344643352995,-2,R1,False,R107,10,8,False,success,2.5062637329101562
GAA_Algorithm_2,1104.65547,1172.1800291715338,-2,R1,False,R107,10,8,False,success,0.1772902011871338
GAA_Algorithm_3,1104.65547,1472.1475144689014,4,R1,False,R107,10,14,False,success,0.714993953704834
GAA_Algorithm_1,960.87528,1398.536370392606,-1,R1,False,R108,9,8,False,success,2.8446078300476074
GAA_Algorithm_2,960.87528,1172.1800291715338,-1,R1,False,R108,9,8,False,success,0.1785595417022705
GAA_Algorithm_3,960.87528,1286.6958070262056,2,R1,False,R108,9,11,False,success,0.8081080913543701
GAA_Algorithm_1,1194.73359,1321.8460266452073,-3,R1,False,R109,11,8,False,success,3.4526028633117676
GAA_Algorithm_2,1194.73359,1172.1800291715338,-3,R1,False,R109,11,8,False,success,0.17620086669921875
GAA_Algorithm_3,1194.73359,1465.5156044052171,3,R1,False,R109,11,14,False,success,0.6431906223297119
GAA_Algorithm_1,1118.83808,1412.3933888830386,-2,R1,False,R110,10,8,False,success,2.9373300075531006
GAA_Algorithm_2,1118.83808,1172.1800291715338,-2,R1,False,R110,10,8,False,success,0.17743158340454102
GAA_Algorithm_3,1118.83808,1367.8203693554192,2,R1,False,R110,10,12,False,success,0.7211506366729736
GAA_Algorithm_1,1096.72605,1322.5107066669314,-2,R1,False,R111,10,8,False,success,3.155184507369995
GAA_Algorithm_2,1096.72605,1172.1800291715338,-2,R1,False,R111,10,8,False,success,0.212615966796875
GAA_Algorithm_3,1096.72605,1328.948291065708,3,R1,False,R111,10,13,False,success,0.7125129699707031
GAA_Algorithm_1,982.13919,1400.8985781045903,-1,R1,False,R112,9,8,False,success,3.8742196559906006
GAA_Algorithm_2,982.13919,1172.1800291715338,-1,R1,False,R112,9,8,False,success,0.175431489944458
GAA_Algorithm_3,982.13919,1228.2957939133044,2,R1,False,R112,9,11,False,success,0.7603006362915039
