algorithm,d_bks,d_final,delta_K,family,gap_distance,gap_percent,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GRASP,1650.79864,1491.7317392397847,0,R1,-159.06690076021528,-9.635754289221808,R101,19,19.0,True,success,17.525317907333374
VND,1650.79864,1491.7317392397847,0,R1,-159.06690076021528,-9.635754289221808,R101,19,19,True,success,16.07191276550293
ILS,1650.79864,791.5402505769351,-12,R1,,,R101,19,7.0,False,success,17.700096130371094
GRASP,1486.85859,1464.6866292511756,1,R1,,,R102,17,18.0,False,success,17.4547176361084
VND,1486.85859,1464.6866292511756,1,R1,,,R102,17,18,False,success,16.968600511550903
ILS,1486.85859,809.6714271724104,-9,R1,,,R102,17,8.0,False,success,11.583383083343506
GRASP,1292.67493,1255.7898470594953,1,R1,,,R103,13,14.0,False,success,10.763606309890747
VND,1292.67493,1255.7898470594953,1,R1,,,R103,13,14,False,success,10.972047328948975
ILS,1292.67493,843.382166758777,-5,R1,,,R103,13,8.0,False,success,19.395294427871704
GRASP,1007.31005,992.0394183148143,2,R1,,,R104,9,11.0,False,success,18.401560068130493
VND,1007.31005,992.0394183148143,2,R1,,,R104,9,11,False,success,18.561690092086792
ILS,1007.31005,854.2062765053995,0,R1,-153.10377349460055,-15.199269926335049,R104,9,9.0,True,success,18.81657099723816
GRASP,1377.11046,1277.8291262613516,1,R1,,,R105,14,15.0,False,success,9.409339666366577
VND,1377.11046,1277.8291262613516,1,R1,,,R105,14,15,False,success,9.484551906585693
ILS,1377.11046,951.1574377791342,-3,R1,,,R105,14,11.0,False,success,10.428999185562134
GRASP,1252.03013,1199.0378307925125,2,R1,,,R106,12,14.0,False,success,7.955476999282837
VND,1252.03013,1199.0378307925125,2,R1,,,R106,12,14,False,success,8.30155062675476
ILS,1252.03013,905.1127782820685,-2,R1,,,R106,12,10.0,False,success,10.462297201156616
GRASP,1104.65547,1081.693823480533,2,R1,,,R107,10,12.0,False,success,10.959179639816284
VND,1104.65547,1081.693823480533,2,R1,,,R107,10,12,False,success,11.673941135406494
ILS,1104.65547,828.8971781100012,-2,R1,,,R107,10,8.0,False,success,14.837097883224487
GRASP,960.87528,1003.3615092743455,1,R1,,,R108,9,10.0,False,success,9.012714385986328
VND,960.87528,1003.3615092743455,1,R1,,,R108,9,10,False,success,8.304848909378052
ILS,960.87528,824.5287703515153,-1,R1,,,R108,9,8.0,False,success,16.116559982299805
GRASP,1194.73359,1196.6002355611715,3,R1,,,R109,11,14.0,False,success,8.781025886535645
VND,1194.73359,1196.6002355611715,3,R1,,,R109,11,14,False,success,8.370301246643066
ILS,1194.73359,894.5471761849317,-1,R1,,,R109,11,10.0,False,success,14.499198198318481
GRASP,1118.83808,1175.8352697972216,2,R1,,,R110,10,12.0,False,success,27.182971477508545
VND,1118.83808,1175.8352697972216,2,R1,,,R110,10,12,False,success,21.28387689590454
ILS,1118.83808,863.3593747424453,-1,R1,,,R110,10,9.0,False,success,12.227218866348267
GRASP,1096.72605,1116.076112026474,2,R1,,,R111,10,12.0,False,success,8.083317995071411
VND,1096.72605,1116.076112026474,2,R1,,,R111,10,12,False,success,8.158283472061157
ILS,1096.72605,821.430720858241,-2,R1,,,R111,10,8.0,False,success,20.338911294937134
GRASP,982.13919,1026.563358438772,2,R1,,,R112,9,11.0,False,success,27.146911144256592
VND,982.13919,1026.563358438772,2,R1,,,R112,9,11,False,success,27.744552850723267
ILS,982.13919,828.9002315161944,-1,R1,,,R112,9,8.0,False,success,25.58297348022461
