algorithm,d_final,family,instance_id,k_final,status,time_sec
GRASP,54.007529346594374,R1,R101,1.0,success,4.836880922317505
VND,54.007529346594374,R1,R101,1,success,4.847309350967407
ILS,55.27296525778705,R1,R101,1.0,success,1.5099475383758545
GRASP,59.09300324849883,R1,R102,1.0,success,6.083126068115234
VND,59.09300324849883,R1,R102,1,success,7.229812860488892
ILS,62.33145947244955,R1,R102,1.0,success,2.0378851890563965
GRASP,67.37639870697338,R1,R103,1.0,success,7.0144383907318115
VND,67.37639870697338,R1,R103,1,success,6.936108350753784
ILS,68.3051777498693,R1,R103,1.0,success,1.9047434329986572
GRASP,59.391764804200186,R1,R104,1.0,success,5.6853132247924805
VND,59.391764804200186,R1,R104,1,success,5.775976181030273
ILS,59.391764804200186,R1,R104,1.0,success,1.858699083328247
GRASP,55.528228979146654,R1,R105,1.0,success,5.340902805328369
VND,55.528228979146654,R1,R105,1,success,5.448271989822388
ILS,55.528228979146654,R1,R105,1.0,success,1.8826115131378174
GRASP,59.391764804200186,R1,R106,1.0,success,5.671400308609009
VND,59.391764804200186,R1,R106,1,success,5.490725517272949
ILS,59.391764804200186,R1,R106,1.0,success,1.8886387348175049
GRASP,64.70512723358232,R1,R107,1.0,success,9.06516146659851
VND,64.70512723358232,R1,R107,1,success,8.983503103256226
ILS,79.77672893330615,R1,R107,1.0,success,1.8334779739379883
GRASP,64.70512723358232,R1,R108,1.0,success,7.67591404914856
VND,64.70512723358232,R1,R108,1,success,5.974319219589233
ILS,71.98188659749917,R1,R108,1.0,success,1.2844104766845703
GRASP,59.13189564301204,R1,R109,1.0,success,5.728933811187744
VND,59.13189564301204,R1,R109,1,success,5.742777585983276
ILS,61.62825601150996,R1,R109,1.0,success,1.2894666194915771
GRASP,61.35655527146817,R1,R110,1.0,success,3.5546658039093018
VND,61.35655527146817,R1,R110,1,success,3.5390303134918213
ILS,61.35655527146817,R1,R110,1.0,success,1.2748749256134033
GRASP,61.856583317536284,R1,R111,1.0,success,4.407634258270264
VND,61.856583317536284,R1,R111,1,success,4.399015426635742
ILS,62.43691829841907,R1,R111,1.0,success,1.2788691520690918
GRASP,65.12301683739044,R1,R112,1.0,success,4.52946138381958
VND,65.12301683739044,R1,R112,1,success,4.543092727661133
ILS,68.28515696998095,R1,R112,1.0,success,1.2832708358764648
