algorithm,d_bks,d_final,delta_K,family,feasible,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GAA_Algorithm_1,1650.79864,1502.195928477025,-11,R1,False,R101,19,8,False,success,3.3601109981536865
GAA_Algorithm_2,1650.79864,1172.1800291715338,-11,R1,False,R101,19,8,False,success,0.1797325611114502
GAA_Algorithm_3,1650.79864,1918.9730412476035,1,R1,False,R101,19,20,False,success,0.4863567352294922
GAA_Algorithm_1,1486.85859,1322.5517629919175,-9,R1,False,R102,17,8,False,success,3.3212859630584717
GAA_Algorithm_2,1486.85859,1172.1800291715338,-9,R1,False,R102,17,8,False,success,0.17901897430419922
GAA_Algorithm_3,1486.85859,1896.3451530965842,2,R1,False,R102,17,19,False,success,0.6627459526062012
GAA_Algorithm_1,1292.67493,1274.513462902278,-5,R1,False,R103,13,8,False,success,4.388551712036133
GAA_Algorithm_2,1292.67493,1172.1800291715338,-5,R1,False,R103,13,8,False,success,0.18042349815368652
GAA_Algorithm_3,1292.67493,1583.53454367954,2,R1,False,R103,13,15,False,success,0.6925978660583496
GAA_Algorithm_1,1007.31005,1436.3647446545858,-1,R1,False,R104,9,8,False,success,3.673056125640869
GAA_Algorithm_2,1007.31005,1172.1800291715338,-1,R1,False,R104,9,8,False,success,0.17667698860168457
GAA_Algorithm_3,1007.31005,1239.4339893445847,2,R1,False,R104,9,11,False,success,0.7934894561767578
GAA_Algorithm_1,1377.11046,1507.6608267705956,-6,R1,False,R105,14,8,False,success,3.5591390132904053
GAA_Algorithm_2,1377.11046,1172.1800291715338,-6,R1,False,R105,14,8,False,success,0.18204545974731445
GAA_Algorithm_3,1377.11046,1606.2052147348402,2,R1,False,R105,14,16,False,success,0.5819003582000732
GAA_Algorithm_1,1252.03013,1427.2451188248494,-4,R1,False,R106,12,8,False,success,3.388469696044922
GAA_Algorithm_2,1252.03013,1172.1800291715338,-4,R1,False,R106,12,8,False,success,0.17409753799438477
GAA_Algorithm_3,1252.03013,1658.1193202808224,4,R1,False,R106,12,16,False,success,0.6439914703369141
GAA_Algorithm_1,1104.65547,1371.344643352995,-2,R1,False,R107,10,8,False,success,2.4859564304351807
GAA_Algorithm_2,1104.65547,1172.1800291715338,-2,R1,False,R107,10,8,False,success,0.17426156997680664
GAA_Algorithm_3,1104.65547,1472.1475144689014,4,R1,False,R107,10,14,False,success,0.7148838043212891
GAA_Algorithm_1,960.87528,1398.536370392606,-1,R1,False,R108,9,8,False,success,2.8352108001708984
GAA_Algorithm_2,960.87528,1172.1800291715338,-1,R1,False,R108,9,8,False,success,0.17250871658325195
GAA_Algorithm_3,960.87528,1286.6958070262056,2,R1,False,R108,9,11,False,success,0.8131310939788818
GAA_Algorithm_1,1194.73359,1321.8460266452073,-3,R1,False,R109,11,8,False,success,3.4392340183258057
GAA_Algorithm_2,1194.73359,1172.1800291715338,-3,R1,False,R109,11,8,False,success,0.17678260803222656
GAA_Algorithm_3,1194.73359,1465.5156044052171,3,R1,False,R109,11,14,False,success,0.6628620624542236
GAA_Algorithm_1,1118.83808,1412.3933888830386,-2,R1,False,R110,10,8,False,success,2.8910162448883057
GAA_Algorithm_2,1118.83808,1172.1800291715338,-2,R1,False,R110,10,8,False,success,0.17018771171569824
GAA_Algorithm_3,1118.83808,1367.8203693554192,2,R1,False,R110,10,12,False,success,0.714167594909668
GAA_Algorithm_1,1096.72605,1322.5107066669314,-2,R1,False,R111,10,8,False,success,3.11810302734375
GAA_Algorithm_2,1096.72605,1172.1800291715338,-2,R1,False,R111,10,8,False,success,0.1761760711669922
GAA_Algorithm_3,1096.72605,1328.948291065708,3,R1,False,R111,10,13,False,success,0.7110588550567627
GAA_Algorithm_1,982.13919,1400.8985781045903,-1,R1,False,R112,9,8,False,success,3.756425142288208
GAA_Algorithm_2,982.13919,1172.1800291715338,-1,R1,False,R112,9,8,False,success,0.1729271411895752
GAA_Algorithm_3,982.13919,1228.2957939133044,2,R1,False,R112,9,11,False,success,0.7460799217224121
