algorithm,instance_id,family,k_final,d_final,time_sec,status,error
GAA_Algorithm_1,R101,R1,8,1502.195928477025,3.3601109981536865,success,
GAA_Algorithm_2,R101,R1,8,1172.1800291715338,0.1797325611114502,success,
GAA_Algorithm_3,R101,R1,20,1918.9730412476035,0.4863567352294922,success,
GAA_Algorithm_1,R102,R1,8,1322.5517629919175,3.3212859630584717,success,
GAA_Algorithm_2,R102,R1,8,1172.1800291715338,0.17901897430419922,success,
GAA_Algorithm_3,R102,R1,19,1896.3451530965842,0.6627459526062012,success,
GAA_Algorithm_1,R103,R1,8,1274.513462902278,4.388551712036133,success,
GAA_Algorithm_2,R103,R1,8,1172.1800291715338,0.18042349815368652,success,
GAA_Algorithm_3,R103,R1,15,1583.53454367954,0.6925978660583496,success,
GAA_Algorithm_1,R104,R1,8,1436.3647446545858,3.673056125640869,success,
GAA_Algorithm_2,R104,R1,8,1172.1800291715338,0.17667698860168457,success,
GAA_Algorithm_3,R104,R1,11,1239.4339893445847,0.7934894561767578,success,
GAA_Algorithm_1,R105,R1,8,1507.6608267705956,3.5591390132904053,success,
GAA_Algorithm_2,R105,R1,8,1172.1800291715338,0.18204545974731445,success,
GAA_Algorithm_3,R105,R1,16,1606.2052147348402,0.5819003582000732,success,
GAA_Algorithm_1,R106,R1,8,1427.2451188248494,3.388469696044922,success,
GAA_Algorithm_2,R106,R1,8,1172.1800291715338,0.17409753799438477,success,
GAA_Algorithm_3,R106,R1,16,1658.1193202808224,0.6439914703369141,success,
GAA_Algorithm_1,R107,R1,8,1371.344643352995,2.4859564304351807,success,
GAA_Algorithm_2,R107,R1,8,1172.1800291715338,0.17426156997680664,success,
GAA_Algorithm_3,R107,R1,14,1472.1475144689014,0.7148838043212891,success,
GAA_Algorithm_1,R108,R1,8,1398.536370392606,2.8352108001708984,success,
GAA_Algorithm_2,R108,R1,8,1172.1800291715338,0.17250871658325195,success,
GAA_Algorithm_3,R108,R1,11,1286.6958070262056,0.8131310939788818,success,
GAA_Algorithm_1,R109,R1,8,1321.8460266452073,3.4392340183258057,success,
GAA_Algorithm_2,R109,R1,8,1172.1800291715338,0.17678260803222656,success,
GAA_Algorithm_3,R109,R1,14,1465.5156044052171,0.6628620624542236,success,
GAA_Algorithm_1,R110,R1,8,1412.3933888830386,2.8910162448883057,success,
GAA_Algorithm_2,R110,R1,8,1172.1800291715338,0.17018771171569824,success,
GAA_Algorithm_3,R110,R1,12,1367.8203693554192,0.714167594909668,success,
GAA_Algorithm_1,R111,R1,8,1322.5107066669314,3.11810302734375,success,
GAA_Algorithm_2,R111,R1,8,1172.1800291715338,0.1761760711669922,success,
GAA_Algorithm_3,R111,R1,13,1328.948291065708,0.7110588550567627,success,
GAA_Algorithm_1,R112,R1,8,1400.8985781045903,3.756425142288208,success,
GAA_Algorithm_2,R112,R1,8,1172.1800291715338,0.1729271411895752,success,
GAA_Algorithm_3,R112,R1,11,1228.2957939133044,0.7460799217224121,success,
