Instance,Reference_Value,Reference_Type,GAA_Value,GAP_Absolute,GAP_Percent,Is_Optimal,Iterations,Time_s,Vertices,Edges
school1,,UNKNOWN,35.0000,N/A,N/A,NO,50,0.000010,385,19095
school1_nsh,,UNKNOWN,30.0000,N/A,N/A,NO,50,0.000010,352,14612
