algorithm,d_bks,d_final,delta_K,family,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GAA_Algorithm_1,1650.79864,0,-19,R1,R101,19,0,False,success,0.1562061309814453
GAA_Algorithm_2,1650.79864,0,-19,R1,R101,19,0,False,success,0.05664181709289551
GAA_Algorithm_3,1650.79864,0,-19,R1,R101,19,0,False,success,0.07436251640319824
GAA_Algorithm_1,1486.85859,0,-17,R1,R102,17,0,False,success,0.16038751602172852
GAA_Algorithm_2,1486.85859,0,-17,R1,R102,17,0,False,success,0.05753469467163086
GAA_Algorithm_3,1486.85859,0,-17,R1,R102,17,0,False,success,0.07433819770812988
GAA_Algorithm_1,1292.67493,0,-13,R1,R103,13,0,False,success,0.15758180618286133
GAA_Algorithm_2,1292.67493,0,-13,R1,R103,13,0,False,success,0.05612516403198242
GAA_Algorithm_3,1292.67493,0,-13,R1,R103,13,0,False,success,0.07325625419616699
GAA_Algorithm_1,1007.31005,0,-9,R1,R104,9,0,False,success,0.1573629379272461
GAA_Algorithm_2,1007.31005,0,-9,R1,R104,9,0,False,success,0.05635190010070801
GAA_Algorithm_3,1007.31005,0,-9,R1,R104,9,0,False,success,0.07437610626220703
GAA_Algorithm_1,1377.11046,0,-14,R1,R105,14,0,False,success,0.15210247039794922
GAA_Algorithm_2,1377.11046,0,-14,R1,R105,14,0,False,success,0.05632805824279785
GAA_Algorithm_3,1377.11046,0,-14,R1,R105,14,0,False,success,0.07358813285827637
GAA_Algorithm_1,1252.03013,0,-12,R1,R106,12,0,False,success,0.15540504455566406
GAA_Algorithm_2,1252.03013,0,-12,R1,R106,12,0,False,success,0.055174827575683594
GAA_Algorithm_3,1252.03013,0,-12,R1,R106,12,0,False,success,0.07361721992492676
GAA_Algorithm_1,1104.65547,0,-10,R1,R107,10,0,False,success,0.157029390335083
GAA_Algorithm_2,1104.65547,0,-10,R1,R107,10,0,False,success,0.05652499198913574
GAA_Algorithm_3,1104.65547,0,-10,R1,R107,10,0,False,success,0.0736398696899414
GAA_Algorithm_1,960.87528,0,-9,R1,R108,9,0,False,success,0.1553030014038086
GAA_Algorithm_2,960.87528,0,-9,R1,R108,9,0,False,success,0.05461478233337402
GAA_Algorithm_3,960.87528,0,-9,R1,R108,9,0,False,success,0.07254385948181152
GAA_Algorithm_1,1194.73359,0,-11,R1,R109,11,0,False,success,0.15506219863891602
GAA_Algorithm_2,1194.73359,0,-11,R1,R109,11,0,False,success,0.0558321475982666
GAA_Algorithm_3,1194.73359,0,-11,R1,R109,11,0,False,success,0.07302379608154297
GAA_Algorithm_1,1118.83808,0,-10,R1,R110,10,0,False,success,0.15658020973205566
GAA_Algorithm_2,1118.83808,0,-10,R1,R110,10,0,False,success,0.059752702713012695
GAA_Algorithm_3,1118.83808,0,-10,R1,R110,10,0,False,success,0.07733535766601562
GAA_Algorithm_1,1096.72605,0,-10,R1,R111,10,0,False,success,0.15918517112731934
GAA_Algorithm_2,1096.72605,0,-10,R1,R111,10,0,False,success,0.057684898376464844
GAA_Algorithm_3,1096.72605,0,-10,R1,R111,10,0,False,success,0.0746011734008789
GAA_Algorithm_1,982.13919,0,-9,R1,R112,9,0,False,success,0.15644121170043945
GAA_Algorithm_2,982.13919,0,-9,R1,R112,9,0,False,success,0.0574493408203125
GAA_Algorithm_3,982.13919,0,-9,R1,R112,9,0,False,success,0.07362818717956543
