algorithm,d_final,family,instance_id,k_final,status,time_sec
GRASP,54.007529346594374,R1,R101,1.0,success,4.848901987075806
VND,653.9692100053765,R1,R101,1,success,1.5060560703277588
ILS,55.27296525778705,R1,R101,1.0,success,1.534266710281372
GRASP,59.09300324849883,R1,R102,1.0,success,6.229892015457153
VND,653.9692100053765,R1,R102,1,success,1.4647431373596191
ILS,62.33145947244955,R1,R102,1.0,success,1.334285020828247
GRASP,67.37639870697338,R1,R103,1.0,success,4.517147779464722
VND,653.9692100053765,R1,R103,1,success,1.4314923286437988
ILS,68.3051777498693,R1,R103,1.0,success,1.3074843883514404
GRASP,59.391764804200186,R1,R104,1.0,success,3.745035409927368
VND,653.9692100053765,R1,R104,1,success,1.3976383209228516
ILS,59.391764804200186,R1,R104,1.0,success,1.324796438217163
GRASP,55.528228979146654,R1,R105,1.0,success,3.7375729084014893
VND,653.9692100053765,R1,R105,1,success,1.4266295433044434
ILS,55.528228979146654,R1,R105,1.0,success,1.2906830310821533
GRASP,59.391764804200186,R1,R106,1.0,success,3.7183730602264404
VND,653.9692100053765,R1,R106,1,success,1.4078469276428223
ILS,59.391764804200186,R1,R106,1.0,success,1.3089349269866943
GRASP,64.70512723358232,R1,R107,1.0,success,6.1257264614105225
VND,653.9692100053765,R1,R107,1,success,1.410156011581421
ILS,79.77672893330615,R1,R107,1.0,success,1.306870937347412
GRASP,64.70512723358232,R1,R108,1.0,success,6.110605001449585
VND,653.9692100053765,R1,R108,1,success,1.431565761566162
ILS,71.98188659749917,R1,R108,1.0,success,1.2961606979370117
GRASP,59.13189564301204,R1,R109,1.0,success,5.790901184082031
VND,653.9692100053765,R1,R109,1,success,1.4220147132873535
ILS,61.62825601150996,R1,R109,1.0,success,1.3136332035064697
GRASP,61.35655527146817,R1,R110,1.0,success,3.616715669631958
VND,653.9692100053765,R1,R110,1,success,1.4002642631530762
ILS,61.35655527146817,R1,R110,1.0,success,1.3066530227661133
GRASP,61.856583317536284,R1,R111,1.0,success,4.514302968978882
VND,653.9692100053765,R1,R111,1,success,1.436108112335205
ILS,62.43691829841907,R1,R111,1.0,success,1.3199689388275146
GRASP,65.12301683739044,R1,R112,1.0,success,4.6000378131866455
VND,653.9692100053765,R1,R112,1,success,1.4112136363983154
ILS,68.28515696998095,R1,R112,1.0,success,1.3266782760620117
