algorithm,d_bks,d_final,delta_K,family,gap_distance,gap_percent,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GRASP,1650.79864,1491.7317392397847,0,R1,-159.06690076021528,-9.635754289221808,R101,19,19.0,True,success,18.042811155319214
VND,1650.79864,1491.7317392397847,0,R1,-159.06690076021528,-9.635754289221808,R101,19,19,True,success,17.386383056640625
ILS,1650.79864,791.5402505769351,-12,R1,,,R101,19,7.0,False,success,20.050211429595947
GRASP,1486.85859,1464.6866292511756,1,R1,,,R102,17,18.0,False,success,19.573132514953613
VND,1486.85859,1464.6866292511756,1,R1,,,R102,17,18,False,success,19.37411856651306
ILS,1486.85859,809.6714271724104,-9,R1,,,R102,17,8.0,False,success,12.699137926101685
GRASP,1292.67493,1255.7898470594953,1,R1,,,R103,13,14.0,False,success,11.60822343826294
VND,1292.67493,1255.7898470594953,1,R1,,,R103,13,14,False,success,12.510535478591919
ILS,1292.67493,843.382166758777,-5,R1,,,R103,13,8.0,False,success,22.4833083152771
GRASP,1007.31005,992.0394183148143,2,R1,,,R104,9,11.0,False,success,26.376487970352173
VND,1007.31005,992.0394183148143,2,R1,,,R104,9,11,False,success,24.134840965270996
ILS,1007.31005,854.2062765053995,0,R1,-153.10377349460055,-15.199269926335049,R104,9,9.0,True,success,22.39328670501709
GRASP,1377.11046,1277.8291262613516,1,R1,,,R105,14,15.0,False,success,12.143238067626953
VND,1377.11046,1277.8291262613516,1,R1,,,R105,14,15,False,success,12.581707239151001
ILS,1377.11046,951.1574377791342,-3,R1,,,R105,14,11.0,False,success,13.266583681106567
GRASP,1252.03013,1199.0378307925125,2,R1,,,R106,12,14.0,False,success,9.916947603225708
VND,1252.03013,1199.0378307925125,2,R1,,,R106,12,14,False,success,10.522930383682251
ILS,1252.03013,905.1127782820685,-2,R1,,,R106,12,10.0,False,success,13.013318538665771
GRASP,1104.65547,1081.693823480533,2,R1,,,R107,10,12.0,False,success,9.686988353729248
VND,1104.65547,1081.693823480533,2,R1,,,R107,10,12,False,success,9.903199434280396
ILS,1104.65547,828.8971781100012,-2,R1,,,R107,10,8.0,False,success,13.251734018325806
GRASP,960.87528,1003.3615092743455,1,R1,,,R108,9,10.0,False,success,7.801181793212891
VND,960.87528,1003.3615092743455,1,R1,,,R108,9,10,False,success,9.162842273712158
ILS,960.87528,824.5287703515153,-1,R1,,,R108,9,8.0,False,success,17.397099256515503
GRASP,1194.73359,1196.6002355611715,3,R1,,,R109,11,14.0,False,success,8.500344276428223
VND,1194.73359,1196.6002355611715,3,R1,,,R109,11,14,False,success,10.007935523986816
ILS,1194.73359,894.5471761849317,-1,R1,,,R109,11,10.0,False,success,15.895214796066284
GRASP,1118.83808,1175.8352697972216,2,R1,,,R110,10,12.0,False,success,25.679139852523804
VND,1118.83808,1175.8352697972216,2,R1,,,R110,10,12,False,success,19.281078100204468
ILS,1118.83808,863.3593747424453,-1,R1,,,R110,10,9.0,False,success,11.824710845947266
GRASP,1096.72605,1116.076112026474,2,R1,,,R111,10,12.0,False,success,7.597511291503906
VND,1096.72605,1116.076112026474,2,R1,,,R111,10,12,False,success,7.532410144805908
ILS,1096.72605,821.430720858241,-2,R1,,,R111,10,8.0,False,success,20.220657110214233
GRASP,982.13919,1026.563358438772,2,R1,,,R112,9,11.0,False,success,29.53604769706726
VND,982.13919,1026.563358438772,2,R1,,,R112,9,11,False,success,27.359168767929077
ILS,982.13919,828.9002315161944,-1,R1,,,R112,9,8.0,False,success,19.4907283782959
