algorithm,d_bks,d_final,delta_K,family,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GAA_Algorithm_1,1650.79864,702.4451355313403,-18,R1,R101,19,1,False,success,0.1985924243927002
GAA_Algorithm_2,1650.79864,177.66898200662393,-18,R1,R101,19,1,False,success,0.0681149959564209
GAA_Algorithm_3,1650.79864,1918.9730412476035,1,R1,R101,19,20,False,success,0.4907963275909424
GAA_Algorithm_1,1486.85859,724.6810241372077,-16,R1,R102,17,1,False,success,0.17935991287231445
GAA_Algorithm_2,1486.85859,177.66898200662393,-16,R1,R102,17,1,False,success,0.06393003463745117
GAA_Algorithm_3,1486.85859,1896.3451530965842,2,R1,R102,17,19,False,success,0.6096196174621582
GAA_Algorithm_1,1292.67493,705.9782122061471,-12,R1,R103,13,1,False,success,0.17656660079956055
GAA_Algorithm_2,1292.67493,177.66898200662393,-12,R1,R103,13,1,False,success,0.06629133224487305
GAA_Algorithm_3,1292.67493,1583.53454367954,2,R1,R103,13,15,False,success,0.684215784072876
GAA_Algorithm_1,1007.31005,720.4384824042994,-8,R1,R104,9,1,False,success,0.1787705421447754
GAA_Algorithm_2,1007.31005,177.66898200662393,-8,R1,R104,9,1,False,success,0.06210780143737793
GAA_Algorithm_3,1007.31005,1239.4339893445847,2,R1,R104,9,11,False,success,0.7636780738830566
GAA_Algorithm_1,1377.11046,744.7373646800227,-13,R1,R105,14,1,False,success,0.16863727569580078
GAA_Algorithm_2,1377.11046,177.66898200662393,-13,R1,R105,14,1,False,success,0.06292366981506348
GAA_Algorithm_3,1377.11046,1606.2052147348402,2,R1,R105,14,16,False,success,0.5580892562866211
GAA_Algorithm_1,1252.03013,709.2167411560015,-11,R1,R106,12,1,False,success,0.1708815097808838
GAA_Algorithm_2,1252.03013,177.66898200662393,-11,R1,R106,12,1,False,success,0.06267118453979492
GAA_Algorithm_3,1252.03013,1658.1193202808224,4,R1,R106,12,16,False,success,0.6177017688751221
GAA_Algorithm_1,1104.65547,713.949484813908,-9,R1,R107,10,1,False,success,0.1692063808441162
GAA_Algorithm_2,1104.65547,177.66898200662393,-9,R1,R107,10,1,False,success,0.062215566635131836
GAA_Algorithm_3,1104.65547,1472.1475144689014,4,R1,R107,10,14,False,success,0.6786484718322754
GAA_Algorithm_1,960.87528,732.0618959331147,-8,R1,R108,9,1,False,success,0.16851091384887695
GAA_Algorithm_2,960.87528,177.66898200662393,-8,R1,R108,9,1,False,success,0.06317853927612305
GAA_Algorithm_3,960.87528,1286.6958070262056,2,R1,R108,9,11,False,success,0.7913460731506348
GAA_Algorithm_1,1194.73359,686.1042180441406,-10,R1,R109,11,1,False,success,0.17084312438964844
GAA_Algorithm_2,1194.73359,177.66898200662393,-10,R1,R109,11,1,False,success,0.06404829025268555
GAA_Algorithm_3,1194.73359,1465.5156044052171,3,R1,R109,11,14,False,success,0.6139922142028809
GAA_Algorithm_1,1118.83808,725.9077534496399,-9,R1,R110,10,1,False,success,0.17323899269104004
GAA_Algorithm_2,1118.83808,177.66898200662393,-9,R1,R110,10,1,False,success,0.06279110908508301
GAA_Algorithm_3,1118.83808,1367.8203693554192,2,R1,R110,10,12,False,success,0.674135684967041
GAA_Algorithm_1,1096.72605,700.9744674032047,-9,R1,R111,10,1,False,success,0.17234277725219727
GAA_Algorithm_2,1096.72605,177.66898200662393,-9,R1,R111,10,1,False,success,0.0629277229309082
GAA_Algorithm_3,1096.72605,1328.948291065708,3,R1,R111,10,13,False,success,0.6828041076660156
GAA_Algorithm_1,982.13919,708.890990915759,-8,R1,R112,9,1,False,success,0.1720290184020996
GAA_Algorithm_2,982.13919,177.66898200662393,-8,R1,R112,9,1,False,success,0.06176495552062988
GAA_Algorithm_3,982.13919,1228.2957939133044,2,R1,R112,9,11,False,success,0.773770809173584
