algorithm,instance_id,family,k_final,d_final,time_sec,status,error
GAA_Algorithm_1,R101,R1,1,702.4451355313403,0.1985924243927002,success,
GAA_Algorithm_2,R101,R1,1,177.66898200662393,0.0681149959564209,success,
GAA_Algorithm_3,R101,R1,20,1918.9730412476035,0.4907963275909424,success,
GAA_Algorithm_1,R102,R1,1,724.6810241372077,0.17935991287231445,success,
GAA_Algorithm_2,R102,R1,1,177.66898200662393,0.06393003463745117,success,
GAA_Algorithm_3,R102,R1,19,1896.3451530965842,0.6096196174621582,success,
GAA_Algorithm_1,R103,R1,1,705.9782122061471,0.17656660079956055,success,
GAA_Algorithm_2,R103,R1,1,177.66898200662393,0.06629133224487305,success,
GAA_Algorithm_3,R103,R1,15,1583.53454367954,0.684215784072876,success,
GAA_Algorithm_1,R104,R1,1,720.4384824042994,0.1787705421447754,success,
GAA_Algorithm_2,R104,R1,1,177.66898200662393,0.06210780143737793,success,
GAA_Algorithm_3,R104,R1,11,1239.4339893445847,0.7636780738830566,success,
GAA_Algorithm_1,R105,R1,1,744.7373646800227,0.16863727569580078,success,
GAA_Algorithm_2,R105,R1,1,177.66898200662393,0.06292366981506348,success,
GAA_Algorithm_3,R105,R1,16,1606.2052147348402,0.5580892562866211,success,
GAA_Algorithm_1,R106,R1,1,709.2167411560015,0.1708815097808838,success,
GAA_Algorithm_2,R106,R1,1,177.66898200662393,0.06267118453979492,success,
GAA_Algorithm_3,R106,R1,16,1658.1193202808224,0.6177017688751221,success,
GAA_Algorithm_1,R107,R1,1,713.949484813908,0.1692063808441162,success,
GAA_Algorithm_2,R107,R1,1,177.66898200662393,0.062215566635131836,success,
GAA_Algorithm_3,R107,R1,14,1472.1475144689014,0.6786484718322754,success,
GAA_Algorithm_1,R108,R1,1,732.0618959331147,0.16851091384887695,success,
GAA_Algorithm_2,R108,R1,1,177.66898200662393,0.06317853927612305,success,
GAA_Algorithm_3,R108,R1,11,1286.6958070262056,0.7913460731506348,success,
GAA_Algorithm_1,R109,R1,1,686.1042180441406,0.17084312438964844,success,
GAA_Algorithm_2,R109,R1,1,177.66898200662393,0.06404829025268555,success,
GAA_Algorithm_3,R109,R1,14,1465.5156044052171,0.6139922142028809,success,
GAA_Algorithm_1,R110,R1,1,725.9077534496399,0.17323899269104004,success,
GAA_Algorithm_2,R110,R1,1,177.66898200662393,0.06279110908508301,success,
GAA_Algorithm_3,R110,R1,12,1367.8203693554192,0.674135684967041,success,
GAA_Algorithm_1,R111,R1,1,700.9744674032047,0.17234277725219727,success,
GAA_Algorithm_2,R111,R1,1,177.66898200662393,0.0629277229309082,success,
GAA_Algorithm_3,R111,R1,13,1328.948291065708,0.6828041076660156,success,
GAA_Algorithm_1,R112,R1,1,708.890990915759,0.1720290184020996,success,
GAA_Algorithm_2,R112,R1,1,177.66898200662393,0.06176495552062988,success,
GAA_Algorithm_3,R112,R1,11,1228.2957939133044,0.773770809173584,success,
