algorithm,d_bks,d_final,delta_K,family,feasible,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GAA_Algorithm_1,1650.79864,1502.195928477025,-11,R1,False,R101,19,8,False,success,3.3867690563201904
GAA_Algorithm_2,1650.79864,1172.1800291715338,-11,R1,False,R101,19,8,False,success,0.18350529670715332
GAA_Algorithm_3,1650.79864,1918.9730412476035,1,R1,False,R101,19,20,False,success,0.49009084701538086
GAA_Algorithm_1,1486.85859,1322.5517629919175,-9,R1,False,R102,17,8,False,success,3.347555637359619
GAA_Algorithm_2,1486.85859,1172.1800291715338,-9,R1,False,R102,17,8,False,success,0.17086505889892578
GAA_Algorithm_3,1486.85859,1896.3451530965842,2,R1,False,R102,17,19,False,success,0.6453888416290283
GAA_Algorithm_1,1292.67493,1274.513462902278,-5,R1,False,R103,13,8,False,success,4.3541505336761475
GAA_Algorithm_2,1292.67493,1172.1800291715338,-5,R1,False,R103,13,8,False,success,0.1681971549987793
GAA_Algorithm_3,1292.67493,1583.53454367954,2,R1,False,R103,13,15,False,success,0.6805689334869385
GAA_Algorithm_1,1007.31005,1436.3647446545858,-1,R1,False,R104,9,8,False,success,3.6422722339630127
GAA_Algorithm_2,1007.31005,1172.1800291715338,-1,R1,False,R104,9,8,False,success,0.1731398105621338
GAA_Algorithm_3,1007.31005,1239.4339893445847,2,R1,False,R104,9,11,False,success,0.7836592197418213
GAA_Algorithm_1,1377.11046,1507.6608267705956,-6,R1,False,R105,14,8,False,success,3.616549253463745
GAA_Algorithm_2,1377.11046,1172.1800291715338,-6,R1,False,R105,14,8,False,success,0.17346668243408203
GAA_Algorithm_3,1377.11046,1606.2052147348402,2,R1,False,R105,14,16,False,success,0.5807955265045166
GAA_Algorithm_1,1252.03013,1427.2451188248494,-4,R1,False,R106,12,8,False,success,3.4682955741882324
GAA_Algorithm_2,1252.03013,1172.1800291715338,-4,R1,False,R106,12,8,False,success,0.18445134162902832
GAA_Algorithm_3,1252.03013,1658.1193202808224,4,R1,False,R106,12,16,False,success,0.6381335258483887
GAA_Algorithm_1,1104.65547,1371.344643352995,-2,R1,False,R107,10,8,False,success,2.516026258468628
GAA_Algorithm_2,1104.65547,1172.1800291715338,-2,R1,False,R107,10,8,False,success,0.17683029174804688
GAA_Algorithm_3,1104.65547,1472.1475144689014,4,R1,False,R107,10,14,False,success,0.7182762622833252
GAA_Algorithm_1,960.87528,1398.536370392606,-1,R1,False,R108,9,8,False,success,2.8133530616760254
GAA_Algorithm_2,960.87528,1172.1800291715338,-1,R1,False,R108,9,8,False,success,0.17373204231262207
GAA_Algorithm_3,960.87528,1286.6958070262056,2,R1,False,R108,9,11,False,success,0.7972514629364014
GAA_Algorithm_1,1194.73359,1321.8460266452073,-3,R1,False,R109,11,8,False,success,3.4455227851867676
GAA_Algorithm_2,1194.73359,1172.1800291715338,-3,R1,False,R109,11,8,False,success,0.17185497283935547
GAA_Algorithm_3,1194.73359,1465.5156044052171,3,R1,False,R109,11,14,False,success,0.645958423614502
GAA_Algorithm_1,1118.83808,1412.3933888830386,-2,R1,False,R110,10,8,False,success,2.918001413345337
GAA_Algorithm_2,1118.83808,1172.1800291715338,-2,R1,False,R110,10,8,False,success,0.17615962028503418
GAA_Algorithm_3,1118.83808,1367.8203693554192,2,R1,False,R110,10,12,False,success,0.7008376121520996
GAA_Algorithm_1,1096.72605,1322.5107066669314,-2,R1,False,R111,10,8,False,success,3.1083552837371826
GAA_Algorithm_2,1096.72605,1172.1800291715338,-2,R1,False,R111,10,8,False,success,0.17522859573364258
GAA_Algorithm_3,1096.72605,1328.948291065708,3,R1,False,R111,10,13,False,success,0.7335000038146973
GAA_Algorithm_1,982.13919,1400.8985781045903,-1,R1,False,R112,9,8,False,success,3.755537509918213
GAA_Algorithm_2,982.13919,1172.1800291715338,-1,R1,False,R112,9,8,False,success,0.17773675918579102
GAA_Algorithm_3,982.13919,1228.2957939133044,2,R1,False,R112,9,11,False,success,0.7465145587921143
