algorithm,instance_id,family,k_final,d_final,time_sec,status,error
GRASP,R101,R1,19.0,1491.7317392397847,13.010855674743652,success,
VND,R101,R1,19,1491.7317392397847,13.190509796142578,success,
ILS,R101,R1,7.0,791.5402505769351,14.530989646911621,success,
GRASP,R102,R1,18.0,1464.6866292511756,13.804556846618652,success,
VND,R102,R1,18,1464.6866292511756,13.918282270431519,success,
ILS,R102,R1,8.0,809.6714271724104,9.603250503540039,success,
GRASP,R103,R1,14.0,1255.7898470594953,8.692429542541504,success,
VND,R103,R1,14,1255.7898470594953,8.831888675689697,success,
ILS,R103,R1,8.0,843.382166758777,15.897782325744629,success,
GRASP,R104,R1,11.0,992.0394183148143,15.454430103302002,success,
VND,R104,R1,11,992.0394183148143,15.732701778411865,success,
ILS,R104,R1,9.0,854.2062765053995,14.702857255935669,success,
GRASP,R105,R1,15.0,1277.8291262613516,7.792356491088867,success,
VND,R105,R1,15,1277.8291262613516,7.862627744674683,success,
ILS,R105,R1,11.0,951.1574377791342,8.455953359603882,success,
GRASP,R106,R1,14.0,1199.0378307925125,6.301202297210693,success,
VND,R106,R1,14,1199.0378307925125,6.387211799621582,success,
ILS,R106,R1,10.0,905.1127782820685,8.11685299873352,success,
GRASP,R107,R1,12.0,1081.693823480533,6.923746347427368,success,
VND,R107,R1,12,1081.693823480533,7.144388198852539,success,
ILS,R107,R1,8.0,828.8971781100012,9.511027336120605,success,
GRASP,R108,R1,10.0,1003.3615092743455,6.1296913623809814,success,
VND,R108,R1,10,1003.3615092743455,6.2269439697265625,success,
ILS,R108,R1,8.0,824.5287703515153,10.52589726448059,success,
GRASP,R109,R1,14.0,1196.6002355611715,5.5491228103637695,success,
VND,R109,R1,14,1196.6002355611715,5.594271421432495,success,
ILS,R109,R1,10.0,894.5471761849317,9.134056329727173,success,
GRASP,R110,R1,12.0,1175.8352697972216,19.763553142547607,success,
VND,R110,R1,12,1175.8352697972216,19.6354398727417,success,
ILS,R110,R1,9.0,863.3593747424453,11.606981039047241,success,
GRASP,R111,R1,12.0,1116.076112026474,7.72346568107605,success,
VND,R111,R1,12,1116.076112026474,7.704132080078125,success,
ILS,R111,R1,8.0,821.430720858241,18.77997326850891,success,
GRASP,R112,R1,11.0,1026.563358438772,18.83098793029785,success,
VND,R112,R1,11,1026.563358438772,18.96297597885132,success,
ILS,R112,R1,8.0,828.9002315161944,14.18334674835205,success,
