algorithm,instance_id,family,k_final,d_final,time_sec,status,error
GRASP,R101,R1,19.0,1491.7317392397847,12.564014196395874,success,
VND,R101,R1,19,1491.7317392397847,12.592015266418457,success,
ILS,R101,R1,7.0,791.5402505769351,13.995211362838745,success,
GRASP,R102,R1,18.0,1464.6866292511756,13.015357732772827,success,
VND,R102,R1,18,1464.6866292511756,13.099862098693848,success,
ILS,R102,R1,8.0,809.6714271724104,8.932182550430298,success,
GRASP,R103,R1,14.0,1255.7898470594953,8.18674111366272,success,
VND,R103,R1,14,1255.7898470594953,8.226070642471313,success,
ILS,R103,R1,8.0,843.382166758777,14.98705506324768,success,
GRASP,R104,R1,11.0,992.0394183148143,14.581726789474487,success,
VND,R104,R1,11,992.0394183148143,14.466977834701538,success,
ILS,R104,R1,9.0,854.2062765053995,13.696579933166504,success,
GRASP,R105,R1,15.0,1277.8291262613516,7.377390384674072,success,
VND,R105,R1,15,1277.8291262613516,7.509299278259277,success,
ILS,R105,R1,11.0,951.1574377791342,8.057487964630127,success,
GRASP,R106,R1,14.0,1199.0378307925125,6.1354899406433105,success,
VND,R106,R1,14,1199.0378307925125,6.177279233932495,success,
ILS,R106,R1,10.0,905.1127782820685,7.89515233039856,success,
GRASP,R107,R1,12.0,1081.693823480533,6.862968444824219,success,
VND,R107,R1,12,1081.693823480533,6.951700210571289,success,
ILS,R107,R1,8.0,828.8971781100012,9.265022277832031,success,
GRASP,R108,R1,10.0,1003.3615092743455,6.048605680465698,success,
VND,R108,R1,10,1003.3615092743455,6.0845232009887695,success,
ILS,R108,R1,8.0,824.5287703515153,12.93602728843689,success,
GRASP,R109,R1,14.0,1196.6002355611715,8.17400598526001,success,
VND,R109,R1,14,1196.6002355611715,7.684658527374268,success,
ILS,R109,R1,10.0,894.5471761849317,8.249155521392822,success,
GRASP,R110,R1,12.0,1175.8352697972216,13.703433513641357,success,
VND,R110,R1,12,1175.8352697972216,13.825375318527222,success,
ILS,R110,R1,9.0,863.3593747424453,8.30884599685669,success,
GRASP,R111,R1,12.0,1116.076112026474,5.4372639656066895,success,
VND,R111,R1,12,1116.076112026474,5.524480581283569,success,
ILS,R111,R1,8.0,821.430720858241,14.094301462173462,success,
GRASP,R112,R1,11.0,1026.563358438772,18.66738200187683,success,
VND,R112,R1,11,1026.563358438772,18.675432205200195,success,
ILS,R112,R1,8.0,828.9002315161944,14.126806497573853,success,
