algorithm,d_bks,d_final,delta_K,family,gap_distance,gap_percent,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GRASP,1650.79864,1491.7317392397847,0,R1,-159.06690076021528,-9.635754289221808,R101,19,19.0,True,success,12.564014196395874
VND,1650.79864,1491.7317392397847,0,R1,-159.06690076021528,-9.635754289221808,R101,19,19,True,success,12.592015266418457
ILS,1650.79864,791.5402505769351,-12,R1,,,R101,19,7.0,False,success,13.995211362838745
GRASP,1486.85859,1464.6866292511756,1,R1,,,R102,17,18.0,False,success,13.015357732772827
VND,1486.85859,1464.6866292511756,1,R1,,,R102,17,18,False,success,13.099862098693848
ILS,1486.85859,809.6714271724104,-9,R1,,,R102,17,8.0,False,success,8.932182550430298
GRASP,1292.67493,1255.7898470594953,1,R1,,,R103,13,14.0,False,success,8.18674111366272
VND,1292.67493,1255.7898470594953,1,R1,,,R103,13,14,False,success,8.226070642471313
ILS,1292.67493,843.382166758777,-5,R1,,,R103,13,8.0,False,success,14.98705506324768
GRASP,1007.31005,992.0394183148143,2,R1,,,R104,9,11.0,False,success,14.581726789474487
VND,1007.31005,992.0394183148143,2,R1,,,R104,9,11,False,success,14.466977834701538
ILS,1007.31005,854.2062765053995,0,R1,-153.10377349460055,-15.199269926335049,R104,9,9.0,True,success,13.696579933166504
GRASP,1377.11046,1277.8291262613516,1,R1,,,R105,14,15.0,False,success,7.377390384674072
VND,1377.11046,1277.8291262613516,1,R1,,,R105,14,15,False,success,7.509299278259277
ILS,1377.11046,951.1574377791342,-3,R1,,,R105,14,11.0,False,success,8.057487964630127
GRASP,1252.03013,1199.0378307925125,2,R1,,,R106,12,14.0,False,success,6.1354899406433105
VND,1252.03013,1199.0378307925125,2,R1,,,R106,12,14,False,success,6.177279233932495
ILS,1252.03013,905.1127782820685,-2,R1,,,R106,12,10.0,False,success,7.89515233039856
GRASP,1104.65547,1081.693823480533,2,R1,,,R107,10,12.0,False,success,6.862968444824219
VND,1104.65547,1081.693823480533,2,R1,,,R107,10,12,False,success,6.951700210571289
ILS,1104.65547,828.8971781100012,-2,R1,,,R107,10,8.0,False,success,9.265022277832031
GRASP,960.87528,1003.3615092743455,1,R1,,,R108,9,10.0,False,success,6.048605680465698
VND,960.87528,1003.3615092743455,1,R1,,,R108,9,10,False,success,6.0845232009887695
ILS,960.87528,824.5287703515153,-1,R1,,,R108,9,8.0,False,success,12.93602728843689
GRASP,1194.73359,1196.6002355611715,3,R1,,,R109,11,14.0,False,success,8.17400598526001
VND,1194.73359,1196.6002355611715,3,R1,,,R109,11,14,False,success,7.684658527374268
ILS,1194.73359,894.5471761849317,-1,R1,,,R109,11,10.0,False,success,8.249155521392822
GRASP,1118.83808,1175.8352697972216,2,R1,,,R110,10,12.0,False,success,13.703433513641357
VND,1118.83808,1175.8352697972216,2,R1,,,R110,10,12,False,success,13.825375318527222
ILS,1118.83808,863.3593747424453,-1,R1,,,R110,10,9.0,False,success,8.30884599685669
GRASP,1096.72605,1116.076112026474,2,R1,,,R111,10,12.0,False,success,5.4372639656066895
VND,1096.72605,1116.076112026474,2,R1,,,R111,10,12,False,success,5.524480581283569
ILS,1096.72605,821.430720858241,-2,R1,,,R111,10,8.0,False,success,14.094301462173462
GRASP,982.13919,1026.563358438772,2,R1,,,R112,9,11.0,False,success,18.66738200187683
VND,982.13919,1026.563358438772,2,R1,,,R112,9,11,False,success,18.675432205200195
ILS,982.13919,828.9002315161944,-1,R1,,,R112,9,8.0,False,success,14.126806497573853
