algorithm,d_final,family,instance_id,k_final,status,time_sec
GRASP,54.007529346594374,R1,R101,1.0,success,4.840095043182373
VND,54.007529346594374,R1,R101,1,success,4.887101650238037
ILS,55.27296525778705,R1,R101,1.0,success,1.5236225128173828
GRASP,59.09300324849883,R1,R102,1.0,success,6.016633749008179
VND,59.09300324849883,R1,R102,1,success,6.082385778427124
ILS,62.33145947244955,R1,R102,1.0,success,1.2713377475738525
GRASP,67.37639870697338,R1,R103,1.0,success,4.4536731243133545
VND,67.37639870697338,R1,R103,1,success,4.521130800247192
ILS,68.3051777498693,R1,R103,1.0,success,1.3075504302978516
GRASP,59.391764804200186,R1,R104,1.0,success,3.767075777053833
VND,59.391764804200186,R1,R104,1,success,3.7569432258605957
ILS,59.391764804200186,R1,R104,1.0,success,1.3160731792449951
GRASP,55.528228979146654,R1,R105,1.0,success,3.750767707824707
VND,55.528228979146654,R1,R105,1,success,3.673344612121582
ILS,55.528228979146654,R1,R105,1.0,success,1.2868642807006836
GRASP,59.391764804200186,R1,R106,1.0,success,3.7445738315582275
VND,59.391764804200186,R1,R106,1,success,3.6935062408447266
ILS,59.391764804200186,R1,R106,1.0,success,1.2865288257598877
GRASP,64.70512723358232,R1,R107,1.0,success,5.9923341274261475
VND,64.70512723358232,R1,R107,1,success,6.081781387329102
ILS,79.77672893330615,R1,R107,1.0,success,1.2792272567749023
GRASP,64.70512723358232,R1,R108,1.0,success,6.0238189697265625
VND,64.70512723358232,R1,R108,1,success,6.07765531539917
ILS,71.98188659749917,R1,R108,1.0,success,1.294684648513794
GRASP,59.13189564301204,R1,R109,1.0,success,5.774183750152588
VND,59.13189564301204,R1,R109,1,success,5.792903661727905
ILS,61.62825601150996,R1,R109,1.0,success,1.2845759391784668
GRASP,61.35655527146817,R1,R110,1.0,success,3.5880510807037354
VND,61.35655527146817,R1,R110,1,success,3.600205898284912
ILS,61.35655527146817,R1,R110,1.0,success,1.2799878120422363
GRASP,61.856583317536284,R1,R111,1.0,success,4.413884401321411
VND,61.856583317536284,R1,R111,1,success,4.522695302963257
ILS,62.43691829841907,R1,R111,1.0,success,1.3053209781646729
GRASP,65.12301683739044,R1,R112,1.0,success,4.521436452865601
VND,65.12301683739044,R1,R112,1,success,4.578598976135254
ILS,68.28515696998095,R1,R112,1.0,success,1.310882568359375
