algorithm,d_bks,d_final,delta_K,family,gap_distance,gap_percent,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GRASP,1650.79864,1491.7317392397847,0,R1,-159.06690076021528,-9.635754289221808,R101,19,19.0,True,success,29.34753108024597
VND,1650.79864,1491.7317392397847,0,R1,-159.06690076021528,-9.635754289221808,R101,19,19,True,success,88.52965974807739
GRASP,1486.85859,1464.6866292511756,1,R1,,,R102,17,18.0,False,success,70.74806571006775
VND,1486.85859,1464.6866292511756,1,R1,,,R102,17,18,False,success,27.375883102416992
GRASP,1292.67493,1255.7898470594953,1,R1,,,R103,13,14.0,False,success,16.693127870559692
VND,1292.67493,1255.7898470594953,1,R1,,,R103,13,14,False,success,17.2576003074646
GRASP,1007.31005,992.0394183148143,2,R1,,,R104,9,11.0,False,success,33.62990427017212
VND,1007.31005,992.0394183148143,2,R1,,,R104,9,11,False,success,31.587718725204468
GRASP,1377.11046,1277.8291262613516,1,R1,,,R105,14,15.0,False,success,16.387280464172363
VND,1377.11046,1277.8291262613516,1,R1,,,R105,14,15,False,success,17.3740975856781
GRASP,1252.03013,1199.0378307925125,2,R1,,,R106,12,14.0,False,success,15.032226085662842
VND,1252.03013,1199.0378307925125,2,R1,,,R106,12,14,False,success,15.536952257156372
GRASP,1104.65547,1081.693823480533,2,R1,,,R107,10,12.0,False,success,18.332011938095093
VND,1104.65547,1081.693823480533,2,R1,,,R107,10,12,False,success,17.04512667655945
GRASP,960.87528,1003.3615092743455,1,R1,,,R108,9,10.0,False,success,14.923442363739014
VND,960.87528,1003.3615092743455,1,R1,,,R108,9,10,False,success,13.950825929641724
GRASP,1194.73359,1196.6002355611715,3,R1,,,R109,11,14.0,False,success,11.13642954826355
VND,1194.73359,1196.6002355611715,3,R1,,,R109,11,14,False,success,11.220027208328247
GRASP,1118.83808,1175.8352697972216,2,R1,,,R110,10,12.0,False,success,29.96288299560547
VND,1118.83808,1175.8352697972216,2,R1,,,R110,10,12,False,success,30.753363847732544
GRASP,1096.72605,1116.076112026474,2,R1,,,R111,10,12.0,False,success,12.19961166381836
VND,1096.72605,1116.076112026474,2,R1,,,R111,10,12,False,success,12.321900844573975
GRASP,982.13919,1026.563358438772,2,R1,,,R112,9,11.0,False,success,33.70838952064514
VND,982.13919,1026.563358438772,2,R1,,,R112,9,11,False,success,20.32025671005249
