algorithm,instance_id,family,k_final,d_final,time_sec,status,error
GRASP,R101,R1,19.0,1491.7317392397847,12.239640951156616,success,
VND,R101,R1,19,1491.7317392397847,12.347799301147461,success,
ILS,R101,R1,7.0,791.5402505769351,13.834972620010376,success,
GRASP,R102,R1,18.0,1464.6866292511756,13.051889181137085,success,
VND,R102,R1,18,1464.6866292511756,13.151374101638794,success,
ILS,R102,R1,8.0,809.6714271724104,8.961329698562622,success,
GRASP,R103,R1,14.0,1255.7898470594953,8.291894912719727,success,
VND,R103,R1,14,1255.7898470594953,8.310966968536377,success,
ILS,R103,R1,8.0,843.382166758777,15.02418851852417,success,
GRASP,R104,R1,11.0,992.0394183148143,14.469544887542725,success,
VND,R104,R1,11,992.0394183148143,14.624917030334473,success,
ILS,R104,R1,9.0,854.2062765053995,13.869198083877563,success,
GRASP,R105,R1,15.0,1277.8291262613516,7.4085023403167725,success,
VND,R105,R1,15,1277.8291262613516,7.402982950210571,success,
ILS,R105,R1,11.0,951.1574377791342,8.112785339355469,success,
GRASP,R106,R1,14.0,1199.0378307925125,6.132483005523682,success,
VND,R106,R1,14,1199.0378307925125,6.282451152801514,success,
ILS,R106,R1,10.0,905.1127782820685,8.02706241607666,success,
GRASP,R107,R1,12.0,1081.693823480533,7.0001184940338135,success,
VND,R107,R1,12,1081.693823480533,7.085777997970581,success,
ILS,R107,R1,8.0,828.8971781100012,9.360624074935913,success,
GRASP,R108,R1,10.0,1003.3615092743455,5.9910736083984375,success,
VND,R108,R1,10,1003.3615092743455,6.154484272003174,success,
ILS,R108,R1,8.0,824.5287703515153,10.440531730651855,success,
GRASP,R109,R1,14.0,1196.6002355611715,5.46100926399231,success,
VND,R109,R1,14,1196.6002355611715,5.501696825027466,success,
ILS,R109,R1,10.0,894.5471761849317,8.05393671989441,success,
GRASP,R110,R1,12.0,1175.8352697972216,13.704896926879883,success,
VND,R110,R1,12,1175.8352697972216,13.946690320968628,success,
ILS,R110,R1,9.0,863.3593747424453,8.32382583618164,success,
GRASP,R111,R1,12.0,1116.076112026474,5.437365770339966,success,
VND,R111,R1,12,1116.076112026474,5.510197162628174,success,
ILS,R111,R1,8.0,821.430720858241,14.15456509590149,success,
GRASP,R112,R1,11.0,1026.563358438772,18.889108419418335,success,
VND,R112,R1,11,1026.563358438772,18.88196849822998,success,
ILS,R112,R1,8.0,828.9002315161944,14.132245540618896,success,
