algorithm,d_bks,d_final,delta_K,family,feasible,gap_distance,gap_percent,hit,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GAA_Algorithm_1,828.93664,1521.9787092030783,0,C1,False,693.0420692030783,83.6061570644384,False,C101,10,10,True,success,5.608044862747192
GAA_Algorithm_2,828.93664,1103.201642272962,0,C1,False,274.2650022729621,33.08636499322338,False,C101,10,10,True,success,0.19504475593566895
GAA_Algorithm_3,828.93664,1835.9157898955027,5,C1,False,,,False,C101,10,15,False,success,0.5584194660186768
GAA_Algorithm_1,828.93664,1461.36903737568,0,C1,False,632.4323973756799,76.294419483699,False,C102,10,10,True,success,5.579813003540039
GAA_Algorithm_2,828.93664,1103.201642272962,0,C1,False,274.2650022729621,33.08636499322338,False,C102,10,10,True,success,0.1858055591583252
GAA_Algorithm_3,828.93664,1868.2668662588653,4,C1,False,,,False,C102,10,14,False,success,0.6364712715148926
GAA_Algorithm_1,828.06464,1504.5004253520794,0,C1,False,676.4357853520794,81.68876590987864,False,C103,10,10,True,success,4.805487394332886
GAA_Algorithm_2,828.06464,1103.201642272962,0,C1,False,275.13700227296204,33.22651263951592,False,C103,10,10,True,success,0.18528342247009277
GAA_Algorithm_3,828.06464,1629.022996958937,1,C1,False,,,False,C103,10,11,False,success,0.7669713497161865
GAA_Algorithm_1,824.77646,1491.1846814345274,0,C1,False,666.4082214345274,80.79864711882385,False,C104,10,10,True,success,5.107394695281982
GAA_Algorithm_2,824.77646,1103.201642272962,0,C1,False,278.42518227296205,33.7576538342234,False,C104,10,10,True,success,0.18436837196350098
GAA_Algorithm_3,824.77646,1451.4964259038152,2,C1,False,,,False,C104,10,12,False,success,0.7673847675323486
GAA_Algorithm_1,828.93664,1466.7375143913632,0,C1,False,637.8008743913632,76.94205366424184,False,C105,10,10,True,success,5.228178262710571
GAA_Algorithm_2,828.93664,1103.201642272962,0,C1,False,274.2650022729621,33.08636499322338,False,C105,10,10,True,success,0.18677473068237305
GAA_Algorithm_3,828.93664,1813.3443697676894,4,C1,False,,,False,C105,10,14,False,success,0.5469329357147217
GAA_Algorithm_1,828.93664,1391.5077427239341,0,C1,False,562.5711027239341,67.86659867320307,False,C106,10,10,True,success,5.120063543319702
GAA_Algorithm_2,828.93664,1103.201642272962,0,C1,False,274.2650022729621,33.08636499322338,False,C106,10,10,True,success,0.18322038650512695
GAA_Algorithm_3,828.93664,1772.8187537725396,4,C1,False,,,False,C106,10,14,False,success,0.5565779209136963
GAA_Algorithm_1,828.93664,1494.3092728454424,0,C1,False,665.3726328454424,80.26821360501599,False,C107,10,10,True,success,5.197983503341675
GAA_Algorithm_2,828.93664,1103.201642272962,0,C1,False,274.2650022729621,33.08636499322338,False,C107,10,10,True,success,0.18446087837219238
GAA_Algorithm_3,828.93664,1825.734950165757,4,C1,False,,,False,C107,10,14,False,success,0.5469670295715332
GAA_Algorithm_1,828.93664,1532.1318412774322,0,C1,False,703.1952012774321,84.83099519855126,False,C108,10,10,True,success,4.976177453994751
GAA_Algorithm_2,828.93664,1103.201642272962,0,C1,False,274.2650022729621,33.08636499322338,False,C108,10,10,True,success,0.1854851245880127
GAA_Algorithm_3,828.93664,1601.3409906892434,2,C1,False,,,False,C108,10,12,False,success,0.621091365814209
GAA_Algorithm_1,828.93664,1503.1208079563887,0,C1,False,674.1841679563887,81.33120620128321,False,C109,10,10,True,success,4.669275999069214
GAA_Algorithm_2,828.93664,1103.201642272962,0,C1,False,274.2650022729621,33.08636499322338,False,C109,10,10,True,success,0.1860811710357666
GAA_Algorithm_3,828.93664,1661.207164687704,2,C1,False,,,False,C109,10,12,False,success,0.6483583450317383
GAA_Algorithm_1,591.55626,1822.6793187131548,7,C2,False,,,False,C201,3,10,False,success,5.0238823890686035
GAA_Algorithm_2,591.55626,1148.7828528547925,7,C2,False,,,False,C201,3,10,False,success,0.1826319694519043
GAA_Algorithm_3,591.55626,1188.300881677972,7,C2,False,,,False,C201,3,10,False,success,0.8218882083892822
GAA_Algorithm_1,591.55626,1657.4139272659925,7,C2,False,,,False,C202,3,10,False,success,4.951571941375732
GAA_Algorithm_2,591.55626,1148.7828528547925,7,C2,False,,,False,C202,3,10,False,success,0.17602086067199707
GAA_Algorithm_3,591.55626,1214.2633153449974,6,C2,False,,,False,C202,3,9,False,success,0.8029932975769043
GAA_Algorithm_1,591.17315,1762.3672706013708,7,C2,False,,,False,C203,3,10,False,success,4.851650238037109
GAA_Algorithm_2,591.17315,1148.7828528547925,7,C2,False,,,False,C203,3,10,False,success,0.17811822891235352
GAA_Algorithm_3,591.17315,1204.8999444501014,7,C2,False,,,False,C203,3,10,False,success,0.792851448059082
GAA_Algorithm_1,590.59845,1661.8032275499606,7,C2,False,,,False,C204,3,10,False,success,4.891019821166992
GAA_Algorithm_2,590.59845,1148.7828528547925,7,C2,False,,,False,C204,3,10,False,success,0.17735934257507324
GAA_Algorithm_3,590.59845,1237.6907295741676,7,C2,False,,,False,C204,3,10,False,success,0.8152554035186768
GAA_Algorithm_1,588.87566,1744.5818793197834,7,C2,False,,,False,C205,3,10,False,success,5.1585023403167725
GAA_Algorithm_2,588.87566,1148.7828528547925,7,C2,False,,,False,C205,3,10,False,success,0.17966604232788086
GAA_Algorithm_3,588.87566,1168.983190391995,7,C2,False,,,False,C205,3,10,False,success,0.8285558223724365
GAA_Algorithm_1,588.49255,1734.2277807587734,7,C2,False,,,False,C206,3,10,False,success,4.992672443389893
GAA_Algorithm_2,588.49255,1148.7828528547925,7,C2,False,,,False,C206,3,10,False,success,0.1789569854736328
GAA_Algorithm_3,588.49255,1134.3482633081046,7,C2,False,,,False,C206,3,10,False,success,0.8125734329223633
GAA_Algorithm_1,588.28602,1494.8241540044728,7,C2,False,,,False,C207,3,10,False,success,4.871406316757202
GAA_Algorithm_2,588.28602,1148.7828528547925,7,C2,False,,,False,C207,3,10,False,success,0.17576932907104492
GAA_Algorithm_3,588.28602,1211.3585658443226,7,C2,False,,,False,C207,3,10,False,success,0.7958250045776367
GAA_Algorithm_1,588.3235,1589.4520273305875,7,C2,False,,,False,C208,3,10,False,success,4.478868246078491
GAA_Algorithm_2,588.3235,1148.7828528547925,7,C2,False,,,False,C208,3,10,False,success,0.18227028846740723
GAA_Algorithm_3,588.3235,1206.3340182622821,7,C2,False,,,False,C208,3,10,False,success,0.8641984462738037
GAA_Algorithm_1,1650.79864,1428.0713231339091,-11,R1,False,,,False,R101,19,8,False,success,3.548156499862671
GAA_Algorithm_2,1650.79864,1172.1800291715338,-11,R1,False,,,False,R101,19,8,False,success,0.17551445960998535
GAA_Algorithm_3,1650.79864,1918.9730412476035,1,R1,False,,,False,R101,19,20,False,success,0.460620641708374
GAA_Algorithm_1,1486.85859,1481.7413040109193,-9,R1,False,,,False,R102,17,8,False,success,2.7105190753936768
GAA_Algorithm_2,1486.85859,1172.1800291715338,-9,R1,False,,,False,R102,17,8,False,success,0.1714344024658203
GAA_Algorithm_3,1486.85859,1896.3451530965842,2,R1,False,,,False,R102,17,19,False,success,0.6127622127532959
GAA_Algorithm_1,1292.67493,1401.9104281950233,-5,R1,False,,,False,R103,13,8,False,success,2.958826780319214
GAA_Algorithm_2,1292.67493,1172.1800291715338,-5,R1,False,,,False,R103,13,8,False,success,0.17221355438232422
GAA_Algorithm_3,1292.67493,1583.53454367954,2,R1,False,,,False,R103,13,15,False,success,0.6788637638092041
GAA_Algorithm_1,1007.31005,1262.523276835775,-1,R1,False,,,False,R104,9,8,False,success,3.620375871658325
GAA_Algorithm_2,1007.31005,1172.1800291715338,-1,R1,False,,,False,R104,9,8,False,success,0.16396403312683105
GAA_Algorithm_3,1007.31005,1239.4339893445847,2,R1,False,,,False,R104,9,11,False,success,0.7538278102874756
GAA_Algorithm_1,1377.11046,1398.0246961159207,-6,R1,False,,,False,R105,14,8,False,success,2.9310028553009033
GAA_Algorithm_2,1377.11046,1172.1800291715338,-6,R1,False,,,False,R105,14,8,False,success,0.16822314262390137
GAA_Algorithm_3,1377.11046,1606.2052147348402,2,R1,False,,,False,R105,14,16,False,success,0.5563995838165283
GAA_Algorithm_1,1252.03013,1430.2290438474902,-4,R1,False,,,False,R106,12,8,False,success,3.3674793243408203
GAA_Algorithm_2,1252.03013,1172.1800291715338,-4,R1,False,,,False,R106,12,8,False,success,0.19808554649353027
GAA_Algorithm_3,1252.03013,1658.1193202808224,4,R1,False,,,False,R106,12,16,False,success,0.6217272281646729
GAA_Algorithm_1,1104.65547,1317.5601481425956,-2,R1,False,,,False,R107,10,8,False,success,3.53601336479187
GAA_Algorithm_2,1104.65547,1172.1800291715338,-2,R1,False,,,False,R107,10,8,False,success,0.16618895530700684
GAA_Algorithm_3,1104.65547,1472.1475144689014,4,R1,False,,,False,R107,10,14,False,success,0.6709554195404053
GAA_Algorithm_1,960.87528,1408.6035541567367,-1,R1,False,,,False,R108,9,8,False,success,3.257817029953003
GAA_Algorithm_2,960.87528,1172.1800291715338,-1,R1,False,,,False,R108,9,8,False,success,0.16572308540344238
GAA_Algorithm_3,960.87528,1286.6958070262056,2,R1,False,,,False,R108,9,11,False,success,0.7446792125701904
GAA_Algorithm_1,1194.73359,1282.9823440508333,-3,R1,False,,,False,R109,11,8,False,success,3.591489315032959
GAA_Algorithm_2,1194.73359,1172.1800291715338,-3,R1,False,,,False,R109,11,8,False,success,0.16631174087524414
GAA_Algorithm_3,1194.73359,1465.5156044052171,3,R1,False,,,False,R109,11,14,False,success,0.6117234230041504
GAA_Algorithm_1,1118.83808,1271.3301210536724,-2,R1,False,,,False,R110,10,8,False,success,3.734318256378174
GAA_Algorithm_2,1118.83808,1172.1800291715338,-2,R1,False,,,False,R110,10,8,False,success,0.16401052474975586
GAA_Algorithm_3,1118.83808,1367.8203693554192,2,R1,False,,,False,R110,10,12,False,success,0.6673464775085449
GAA_Algorithm_1,1096.72605,1392.7372141586459,-2,R1,False,,,False,R111,10,8,False,success,2.515883445739746
GAA_Algorithm_2,1096.72605,1172.1800291715338,-2,R1,False,,,False,R111,10,8,False,success,0.16593217849731445
GAA_Algorithm_3,1096.72605,1328.948291065708,3,R1,False,,,False,R111,10,13,False,success,0.6862988471984863
GAA_Algorithm_1,982.13919,1351.6204441270556,-1,R1,False,,,False,R112,9,8,False,success,3.104309558868408
GAA_Algorithm_2,982.13919,1172.1800291715338,-1,R1,False,,,False,R112,9,8,False,success,0.15558433532714844
GAA_Algorithm_3,982.13919,1228.2957939133044,2,R1,False,,,False,R112,9,11,False,success,0.6310303211212158
GAA_Algorithm_1,1252.37074,1295.869380467507,4,R2,False,,,False,R201,4,8,False,success,2.8558099269866943
GAA_Algorithm_2,1252.37074,1172.1800291715338,4,R2,False,,,False,R201,4,8,False,success,0.15789413452148438
GAA_Algorithm_3,1252.37074,1160.1387854138598,4,R2,False,,,False,R201,4,8,False,success,0.9679896831512451
GAA_Algorithm_1,1191.70252,1344.298140158541,5,R2,False,,,False,R202,3,8,False,success,2.5661444664001465
GAA_Algorithm_2,1191.70252,1172.1800291715338,5,R2,False,,,False,R202,3,8,False,success,0.15790987014770508
GAA_Algorithm_3,1191.70252,1131.944963010297,5,R2,False,,,False,R202,3,8,False,success,0.9537479877471924
GAA_Algorithm_1,939.50286,1339.9927887937176,5,R2,False,,,False,R203,3,8,False,success,3.4320077896118164
GAA_Algorithm_2,939.50286,1172.1800291715338,5,R2,False,,,False,R203,3,8,False,success,0.1556544303894043
GAA_Algorithm_3,939.50286,1050.878396224219,5,R2,False,,,False,R203,3,8,False,success,0.9917943477630615
GAA_Algorithm_1,825.5188,1275.9094077227346,6,R2,False,,,False,R204,2,8,False,success,3.5470991134643555
GAA_Algorithm_2,825.5188,1172.1800291715338,6,R2,False,,,False,R204,2,8,False,success,0.1575615406036377
GAA_Algorithm_3,825.5188,1018.2067041012627,5,R2,False,,,False,R204,2,7,False,success,1.0465757846832275
