algorithm,instance_id,family,k_final,d_final,time_sec,hit,status,error
GAA_Algorithm_1,C101,C1,10,1521.9787092030783,5.608044862747192,N/A,success,
GAA_Algorithm_2,C101,C1,10,1103.201642272962,0.19504475593566895,N/A,success,
GAA_Algorithm_3,C101,C1,15,1835.9157898955027,0.5584194660186768,N/A,success,
GAA_Algorithm_1,C102,C1,10,1461.36903737568,5.579813003540039,N/A,success,
GAA_Algorithm_2,C102,C1,10,1103.201642272962,0.1858055591583252,N/A,success,
GAA_Algorithm_3,C102,C1,14,1868.2668662588653,0.6364712715148926,N/A,success,
GAA_Algorithm_1,C103,C1,10,1504.5004253520794,4.805487394332886,N/A,success,
GAA_Algorithm_2,C103,C1,10,1103.201642272962,0.18528342247009277,N/A,success,
GAA_Algorithm_3,C103,C1,11,1629.022996958937,0.7669713497161865,N/A,success,
GAA_Algorithm_1,C104,C1,10,1491.1846814345274,5.107394695281982,N/A,success,
GAA_Algorithm_2,C104,C1,10,1103.201642272962,0.18436837196350098,N/A,success,
GAA_Algorithm_3,C104,C1,12,1451.4964259038152,0.7673847675323486,N/A,success,
GAA_Algorithm_1,C105,C1,10,1466.7375143913632,5.228178262710571,N/A,success,
GAA_Algorithm_2,C105,C1,10,1103.201642272962,0.18677473068237305,N/A,success,
GAA_Algorithm_3,C105,C1,14,1813.3443697676894,0.5469329357147217,N/A,success,
GAA_Algorithm_1,C106,C1,10,1391.5077427239341,5.120063543319702,N/A,success,
GAA_Algorithm_2,C106,C1,10,1103.201642272962,0.18322038650512695,N/A,success,
GAA_Algorithm_3,C106,C1,14,1772.8187537725396,0.5565779209136963,N/A,success,
GAA_Algorithm_1,C107,C1,10,1494.3092728454424,5.197983503341675,N/A,success,
GAA_Algorithm_2,C107,C1,10,1103.201642272962,0.18446087837219238,N/A,success,
GAA_Algorithm_3,C107,C1,14,1825.734950165757,0.5469670295715332,N/A,success,
GAA_Algorithm_1,C108,C1,10,1532.1318412774322,4.976177453994751,N/A,success,
GAA_Algorithm_2,C108,C1,10,1103.201642272962,0.1854851245880127,N/A,success,
GAA_Algorithm_3,C108,C1,12,1601.3409906892434,0.621091365814209,N/A,success,
GAA_Algorithm_1,C109,C1,10,1503.1208079563887,4.669275999069214,N/A,success,
GAA_Algorithm_2,C109,C1,10,1103.201642272962,0.1860811710357666,N/A,success,
GAA_Algorithm_3,C109,C1,12,1661.207164687704,0.6483583450317383,N/A,success,
GAA_Algorithm_1,C201,C2,10,1822.6793187131548,5.0238823890686035,N/A,success,
GAA_Algorithm_2,C201,C2,10,1148.7828528547925,0.1826319694519043,N/A,success,
GAA_Algorithm_3,C201,C2,10,1188.300881677972,0.8218882083892822,N/A,success,
GAA_Algorithm_1,C202,C2,10,1657.4139272659925,4.951571941375732,N/A,success,
GAA_Algorithm_2,C202,C2,10,1148.7828528547925,0.17602086067199707,N/A,success,
GAA_Algorithm_3,C202,C2,9,1214.2633153449974,0.8029932975769043,N/A,success,
