Instance,Vertices,Edges,Colors,Conflicts,Feasible,Time,Gap
myciel3,11,20,4,0,True,0.00s,N/A
myciel4,23,71,5,0,True,0.03s,N/A
myciel5,47,236,6,0,True,0.26s,N/A
myciel6,95,755,7,0,True,1.98s,N/A
myciel7,191,2360,8,0,True,23.35s,N/A
