algorithm,d_final,family,instance_id,k_final,status,time_sec
GRASP,54.007529346594374,R1,R101,1.0,success,4.885221242904663
VND,54.007529346594374,R1,R101,1,success,4.870852470397949
ILS,55.27296525778705,R1,R101,1.0,success,1.557936191558838
GRASP,59.09300324849883,R1,R102,1.0,success,6.053799152374268
VND,59.09300324849883,R1,R102,1,success,6.0770018100738525
ILS,62.33145947244955,R1,R102,1.0,success,1.3201732635498047
GRASP,67.37639870697338,R1,R103,1.0,success,4.503758192062378
VND,67.37639870697338,R1,R103,1,success,4.4718523025512695
ILS,68.3051777498693,R1,R103,1.0,success,1.3191611766815186
GRASP,59.391764804200186,R1,R104,1.0,success,3.696115016937256
VND,59.391764804200186,R1,R104,1,success,3.730605125427246
ILS,59.391764804200186,R1,R104,1.0,success,1.341543197631836
GRASP,55.528228979146654,R1,R105,1.0,success,5.093164443969727
VND,55.528228979146654,R1,R105,1,success,3.7977817058563232
ILS,55.528228979146654,R1,R105,1.0,success,1.3165557384490967
GRASP,59.391764804200186,R1,R106,1.0,success,3.7703962326049805
VND,59.391764804200186,R1,R106,1,success,3.8378233909606934
ILS,59.391764804200186,R1,R106,1.0,success,1.3604190349578857
GRASP,64.70512723358232,R1,R107,1.0,success,6.2264087200164795
VND,64.70512723358232,R1,R107,1,success,6.254918813705444
ILS,79.77672893330615,R1,R107,1.0,success,1.3231043815612793
GRASP,64.70512723358232,R1,R108,1.0,success,6.131788730621338
VND,64.70512723358232,R1,R108,1,success,6.121185064315796
ILS,71.98188659749917,R1,R108,1.0,success,1.3700385093688965
GRASP,59.13189564301204,R1,R109,1.0,success,5.885718822479248
VND,59.13189564301204,R1,R109,1,success,5.956835746765137
ILS,61.62825601150996,R1,R109,1.0,success,1.3348650932312012
GRASP,61.35655527146817,R1,R110,1.0,success,3.6195664405822754
VND,61.35655527146817,R1,R110,1,success,3.575557231903076
ILS,61.35655527146817,R1,R110,1.0,success,1.3208229541778564
GRASP,61.856583317536284,R1,R111,1.0,success,4.435897588729858
VND,61.856583317536284,R1,R111,1,success,4.4528586864471436
ILS,62.43691829841907,R1,R111,1.0,success,1.320270299911499
GRASP,65.12301683739044,R1,R112,1.0,success,4.582862615585327
VND,65.12301683739044,R1,R112,1,success,4.603524923324585
ILS,68.28515696998095,R1,R112,1.0,success,1.3268604278564453
