Instance,Reference_Value,Reference_Type,GAA_Value,GAP_Absolute,GAP_Percent,Is_Optimal,Iterations,Time_s,Vertices,Edges
flat1000_50_0,50,ÓPTIMO,0.9000,-49.1000,-98.20,NO,50,0.000010,1000,245000
flat1000_60_0,60,ÓPTIMO,0.9000,-59.1000,-98.50,NO,50,0.000010,1000,245830
flat1000_76_0,76,ÓPTIMO,0.9000,-75.1000,-98.82,NO,50,0.000010,1000,246708
flat300_20_0,20,ÓPTIMO,0.9000,-19.1000,-95.50,NO,50,0.000010,300,21375
flat300_26_0,26,ÓPTIMO,0.9000,-25.1000,-96.54,NO,50,0.000010,300,21633
flat300_28_0,28,ÓPTIMO,0.9000,-27.1000,-96.79,NO,50,0.000010,300,21695
