algorithm,instance_id,family,k_final,d_final,time_sec,status,error
GAA_Algorithm_1,R101,R1,1,702.4451355313403,0.16695141792297363,success,
GAA_Algorithm_2,R101,R1,1,177.66898200662393,0.06594061851501465,success,
GAA_Algorithm_3,R101,R1,20,1918.9730412476035,0.467242956161499,success,
GAA_Algorithm_1,R102,R1,1,724.6810241372077,0.1707613468170166,success,
GAA_Algorithm_2,R102,R1,1,177.66898200662393,0.062180519104003906,success,
GAA_Algorithm_3,R102,R1,19,1896.3451530965842,0.5860128402709961,success,
GAA_Algorithm_1,R103,R1,1,705.9782122061471,0.19055676460266113,success,
GAA_Algorithm_2,R103,R1,1,177.66898200662393,0.06288504600524902,success,
GAA_Algorithm_3,R103,R1,15,1583.53454367954,0.6528377532958984,success,
GAA_Algorithm_1,R104,R1,1,720.4384824042994,0.16498637199401855,success,
GAA_Algorithm_2,R104,R1,1,177.66898200662393,0.06254839897155762,success,
GAA_Algorithm_3,R104,R1,11,1239.4339893445847,0.7501883506774902,success,
GAA_Algorithm_1,R105,R1,1,744.7373646800227,0.17235469818115234,success,
GAA_Algorithm_2,R105,R1,1,177.66898200662393,0.06273293495178223,success,
GAA_Algorithm_3,R105,R1,16,1606.2052147348402,0.5506742000579834,success,
GAA_Algorithm_1,R106,R1,1,709.2167411560015,0.1690821647644043,success,
GAA_Algorithm_2,R106,R1,1,177.66898200662393,0.06146979331970215,success,
GAA_Algorithm_3,R106,R1,16,1658.1193202808224,0.6191906929016113,success,
GAA_Algorithm_1,R107,R1,1,713.949484813908,0.17639946937561035,success,
GAA_Algorithm_2,R107,R1,1,177.66898200662393,0.06354141235351562,success,
GAA_Algorithm_3,R107,R1,14,1472.1475144689014,0.6833069324493408,success,
GAA_Algorithm_1,R108,R1,1,732.0618959331147,0.16796469688415527,success,
GAA_Algorithm_2,R108,R1,1,177.66898200662393,0.06262779235839844,success,
GAA_Algorithm_3,R108,R1,11,1286.6958070262056,0.7534677982330322,success,
GAA_Algorithm_1,R109,R1,1,686.1042180441406,0.16833806037902832,success,
GAA_Algorithm_2,R109,R1,1,177.66898200662393,0.06255555152893066,success,
GAA_Algorithm_3,R109,R1,14,1465.5156044052171,0.6193234920501709,success,
GAA_Algorithm_1,R110,R1,1,725.9077534496399,0.1736445426940918,success,
GAA_Algorithm_2,R110,R1,1,177.66898200662393,0.06344008445739746,success,
GAA_Algorithm_3,R110,R1,12,1367.8203693554192,0.6673152446746826,success,
GAA_Algorithm_1,R111,R1,1,700.9744674032047,0.17488980293273926,success,
GAA_Algorithm_2,R111,R1,1,177.66898200662393,0.06461262702941895,success,
GAA_Algorithm_3,R111,R1,13,1328.948291065708,0.6751062870025635,success,
GAA_Algorithm_1,R112,R1,1,708.890990915759,0.1763134002685547,success,
GAA_Algorithm_2,R112,R1,1,177.66898200662393,0.0633394718170166,success,
GAA_Algorithm_3,R112,R1,11,1228.2957939133044,0.7035799026489258,success,
