algorithm,d_bks,d_final,delta_K,family,feasible,hit,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GAA_Algorithm_1,1650.79864,1502.195928477025,-11,R1,False,False,R101,19,8,False,success,3.261556625366211
GAA_Algorithm_2,1650.79864,1172.1800291715338,-11,R1,False,False,R101,19,8,False,success,0.17833280563354492
GAA_Algorithm_3,1650.79864,1918.9730412476035,1,R1,False,False,R101,19,20,False,success,0.48562169075012207
GAA_Algorithm_1,1486.85859,1322.5517629919175,-9,R1,False,False,R102,17,8,False,success,3.3391897678375244
GAA_Algorithm_2,1486.85859,1172.1800291715338,-9,R1,False,False,R102,17,8,False,success,0.17603802680969238
GAA_Algorithm_3,1486.85859,1896.3451530965842,2,R1,False,False,R102,17,19,False,success,0.6186096668243408
GAA_Algorithm_1,1292.67493,1274.513462902278,-5,R1,False,False,R103,13,8,False,success,4.361426591873169
GAA_Algorithm_2,1292.67493,1172.1800291715338,-5,R1,False,False,R103,13,8,False,success,0.17174673080444336
GAA_Algorithm_3,1292.67493,1583.53454367954,2,R1,False,False,R103,13,15,False,success,0.6817507743835449
GAA_Algorithm_1,1007.31005,1436.3647446545858,-1,R1,False,False,R104,9,8,False,success,3.723414182662964
GAA_Algorithm_2,1007.31005,1172.1800291715338,-1,R1,False,False,R104,9,8,False,success,0.17778825759887695
GAA_Algorithm_3,1007.31005,1239.4339893445847,2,R1,False,False,R104,9,11,False,success,0.8089985847473145
GAA_Algorithm_1,1377.11046,1507.6608267705956,-6,R1,False,False,R105,14,8,False,success,3.64943790435791
GAA_Algorithm_2,1377.11046,1172.1800291715338,-6,R1,False,False,R105,14,8,False,success,0.17964625358581543
GAA_Algorithm_3,1377.11046,1606.2052147348402,2,R1,False,False,R105,14,16,False,success,0.6090655326843262
GAA_Algorithm_1,1252.03013,1427.2451188248494,-4,R1,False,False,R106,12,8,False,success,3.473843812942505
GAA_Algorithm_2,1252.03013,1172.1800291715338,-4,R1,False,False,R106,12,8,False,success,0.1794424057006836
GAA_Algorithm_3,1252.03013,1658.1193202808224,4,R1,False,False,R106,12,16,False,success,0.6489958763122559
GAA_Algorithm_1,1104.65547,1371.344643352995,-2,R1,False,False,R107,10,8,False,success,2.5578556060791016
GAA_Algorithm_2,1104.65547,1172.1800291715338,-2,R1,False,False,R107,10,8,False,success,0.175581693649292
GAA_Algorithm_3,1104.65547,1472.1475144689014,4,R1,False,False,R107,10,14,False,success,0.7232351303100586
GAA_Algorithm_1,960.87528,1398.536370392606,-1,R1,False,False,R108,9,8,False,success,2.913090944290161
GAA_Algorithm_2,960.87528,1172.1800291715338,-1,R1,False,False,R108,9,8,False,success,0.18430066108703613
GAA_Algorithm_3,960.87528,1286.6958070262056,2,R1,False,False,R108,9,11,False,success,0.8287370204925537
GAA_Algorithm_1,1194.73359,1321.8460266452073,-3,R1,False,False,R109,11,8,False,success,3.4850828647613525
GAA_Algorithm_2,1194.73359,1172.1800291715338,-3,R1,False,False,R109,11,8,False,success,0.18160104751586914
GAA_Algorithm_3,1194.73359,1465.5156044052171,3,R1,False,False,R109,11,14,False,success,0.6534032821655273
GAA_Algorithm_1,1118.83808,1412.3933888830386,-2,R1,False,False,R110,10,8,False,success,2.993004083633423
GAA_Algorithm_2,1118.83808,1172.1800291715338,-2,R1,False,False,R110,10,8,False,success,0.18179750442504883
GAA_Algorithm_3,1118.83808,1367.8203693554192,2,R1,False,False,R110,10,12,False,success,0.7568166255950928
GAA_Algorithm_1,1096.72605,1322.5107066669314,-2,R1,False,False,R111,10,8,False,success,3.1787047386169434
GAA_Algorithm_2,1096.72605,1172.1800291715338,-2,R1,False,False,R111,10,8,False,success,0.1788938045501709
GAA_Algorithm_3,1096.72605,1328.948291065708,3,R1,False,False,R111,10,13,False,success,0.722769021987915
GAA_Algorithm_1,982.13919,1400.8985781045903,-1,R1,False,False,R112,9,8,False,success,3.825807809829712
GAA_Algorithm_2,982.13919,1172.1800291715338,-1,R1,False,False,R112,9,8,False,success,0.17652463912963867
GAA_Algorithm_3,982.13919,1228.2957939133044,2,R1,False,False,R112,9,11,False,success,0.7531454563140869
