algorithm,instance_id,family,k_final,d_final,time_sec,hit,status,error
GAA_Algorithm_1,C101,C1,10,1521.9787092030783,5.750888824462891,N/A,success,
GAA_Algorithm_2,C101,C1,10,1103.201642272962,0.19373536109924316,N/A,success,
GAA_Algorithm_3,C101,C1,15,1835.9157898955027,0.5597243309020996,N/A,success,
GAA_Algorithm_1,C102,C1,10,1461.36903737568,5.785570383071899,N/A,success,
GAA_Algorithm_2,C102,C1,10,1103.201642272962,0.21947717666625977,N/A,success,
GAA_Algorithm_3,C102,C1,14,1868.2668662588653,0.6900813579559326,N/A,success,
GAA_Algorithm_1,C103,C1,10,1504.5004253520794,5.377729177474976,N/A,success,
GAA_Algorithm_2,C103,C1,10,1103.201642272962,0.19670510292053223,N/A,success,
GAA_Algorithm_3,C103,C1,11,1629.022996958937,0.7938268184661865,N/A,success,
GAA_Algorithm_1,C104,C1,10,1491.1846814345274,5.275935888290405,N/A,success,
GAA_Algorithm_2,C104,C1,10,1103.201642272962,0.19140076637268066,N/A,success,
GAA_Algorithm_3,C104,C1,12,1451.4964259038152,0.7705020904541016,N/A,success,
GAA_Algorithm_1,C105,C1,10,1466.7375143913632,5.260905027389526,N/A,success,
GAA_Algorithm_2,C105,C1,10,1103.201642272962,0.1887681484222412,N/A,success,
GAA_Algorithm_3,C105,C1,14,1813.3443697676894,0.5563602447509766,N/A,success,
GAA_Algorithm_1,C106,C1,10,1391.5077427239341,5.237557888031006,N/A,success,
GAA_Algorithm_2,C106,C1,10,1103.201642272962,0.19203901290893555,N/A,success,
GAA_Algorithm_3,C106,C1,14,1772.8187537725396,0.5633246898651123,N/A,success,
GAA_Algorithm_1,C107,C1,10,1494.3092728454424,5.405864000320435,N/A,success,
GAA_Algorithm_2,C107,C1,10,1103.201642272962,0.20034575462341309,N/A,success,
GAA_Algorithm_3,C107,C1,14,1825.734950165757,0.5785672664642334,N/A,success,
GAA_Algorithm_1,C108,C1,10,1532.1318412774322,6.3022620677948,N/A,success,
GAA_Algorithm_2,C108,C1,10,1103.201642272962,0.31150174140930176,N/A,success,
GAA_Algorithm_3,C108,C1,12,1601.3409906892434,0.7347431182861328,N/A,success,
GAA_Algorithm_1,C109,C1,10,1503.1208079563887,4.872171401977539,N/A,success,
GAA_Algorithm_2,C109,C1,10,1103.201642272962,0.18508625030517578,N/A,success,
GAA_Algorithm_3,C109,C1,12,1661.207164687704,0.674919843673706,N/A,success,
GAA_Algorithm_1,C201,C2,10,1822.6793187131548,5.084553003311157,N/A,success,
GAA_Algorithm_2,C201,C2,10,1148.7828528547925,0.18573260307312012,N/A,success,
GAA_Algorithm_3,C201,C2,10,1188.300881677972,0.8257997035980225,N/A,success,
GAA_Algorithm_1,C202,C2,10,1657.4139272659925,4.955434083938599,N/A,success,
GAA_Algorithm_2,C202,C2,10,1148.7828528547925,0.18015217781066895,N/A,success,
GAA_Algorithm_3,C202,C2,9,1214.2633153449974,0.8037950992584229,N/A,success,
GAA_Algorithm_1,C203,C2,10,1762.3672706013708,4.846958637237549,N/A,success,
GAA_Algorithm_2,C203,C2,10,1148.7828528547925,0.182755708694458,N/A,success,
GAA_Algorithm_3,C203,C2,10,1204.8999444501014,0.828275203704834,N/A,success,
GAA_Algorithm_1,C204,C2,10,1661.8032275499606,4.963980674743652,N/A,success,
GAA_Algorithm_2,C204,C2,10,1148.7828528547925,0.18117189407348633,N/A,success,
GAA_Algorithm_3,C204,C2,10,1237.6907295741676,0.8204653263092041,N/A,success,
GAA_Algorithm_1,C205,C2,10,1744.5818793197834,5.123183012008667,N/A,success,
GAA_Algorithm_2,C205,C2,10,1148.7828528547925,0.17910361289978027,N/A,success,
GAA_Algorithm_3,C205,C2,10,1168.983190391995,0.8186943531036377,N/A,success,
