algorithm,d_final,family,instance_id,k_final,status,time_sec
GRASP,54.007529346594374,R1,R101,1.0,success,4.91195011138916
VND,54.007529346594374,R1,R101,1,success,4.83907675743103
ILS,55.27296525778705,R1,R101,1.0,success,1.5232934951782227
GRASP,59.09300324849883,R1,R102,1.0,success,6.068245887756348
VND,59.09300324849883,R1,R102,1,success,6.1713783740997314
ILS,62.33145947244955,R1,R102,1.0,success,1.3189740180969238
GRASP,67.37639870697338,R1,R103,1.0,success,4.451362133026123
VND,67.37639870697338,R1,R103,1,success,4.45853853225708
ILS,68.3051777498693,R1,R103,1.0,success,1.3050403594970703
GRASP,59.391764804200186,R1,R104,1.0,success,3.7205240726470947
VND,59.391764804200186,R1,R104,1,success,3.728898763656616
ILS,59.391764804200186,R1,R104,1.0,success,1.2889297008514404
GRASP,55.528228979146654,R1,R105,1.0,success,3.663180112838745
VND,55.528228979146654,R1,R105,1,success,3.671572208404541
ILS,55.528228979146654,R1,R105,1.0,success,1.269618272781372
GRASP,59.391764804200186,R1,R106,1.0,success,3.6979665756225586
VND,59.391764804200186,R1,R106,1,success,3.7081520557403564
ILS,59.391764804200186,R1,R106,1.0,success,1.2769052982330322
GRASP,64.70512723358232,R1,R107,1.0,success,6.06682276725769
VND,64.70512723358232,R1,R107,1,success,8.45054316520691
ILS,79.77672893330615,R1,R107,1.0,success,1.5866496562957764
GRASP,64.70512723358232,R1,R108,1.0,success,8.699726104736328
VND,64.70512723358232,R1,R108,1,success,8.624659776687622
ILS,71.98188659749917,R1,R108,1.0,success,1.9906539916992188
GRASP,59.13189564301204,R1,R109,1.0,success,8.398534536361694
VND,59.13189564301204,R1,R109,1,success,8.340112447738647
ILS,61.62825601150996,R1,R109,1.0,success,1.9087457656860352
GRASP,61.35655527146817,R1,R110,1.0,success,5.183260917663574
VND,61.35655527146817,R1,R110,1,success,5.403833866119385
ILS,61.35655527146817,R1,R110,1.0,success,2.0222127437591553
GRASP,61.856583317536284,R1,R111,1.0,success,5.267737865447998
VND,61.856583317536284,R1,R111,1,success,4.445258617401123
ILS,62.43691829841907,R1,R111,1.0,success,1.3059680461883545
GRASP,65.12301683739044,R1,R112,1.0,success,4.60127854347229
VND,65.12301683739044,R1,R112,1,success,4.601330518722534
ILS,68.28515696998095,R1,R112,1.0,success,1.3076822757720947
