algorithm,d_bks,d_final,delta_K,family,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GAA_Algorithm_1,1650.79864,702.4451355313403,-18,R1,R101,19,1,False,success,0.16917991638183594
GAA_Algorithm_2,1650.79864,177.66898200662393,-18,R1,R101,19,1,False,success,0.0632164478302002
GAA_Algorithm_3,1650.79864,1918.9730412476035,1,R1,R101,19,20,False,success,0.47919392585754395
GAA_Algorithm_1,1486.85859,724.6810241372077,-16,R1,R102,17,1,False,success,0.16912174224853516
GAA_Algorithm_2,1486.85859,177.66898200662393,-16,R1,R102,17,1,False,success,0.06052803993225098
GAA_Algorithm_3,1486.85859,1896.3451530965842,2,R1,R102,17,19,False,success,0.5914943218231201
GAA_Algorithm_1,1292.67493,705.9782122061471,-12,R1,R103,13,1,False,success,0.16945648193359375
GAA_Algorithm_2,1292.67493,177.66898200662393,-12,R1,R103,13,1,False,success,0.06265854835510254
GAA_Algorithm_3,1292.67493,1583.53454367954,2,R1,R103,13,15,False,success,0.6473948955535889
GAA_Algorithm_1,1007.31005,720.4384824042994,-8,R1,R104,9,1,False,success,0.16500163078308105
GAA_Algorithm_2,1007.31005,177.66898200662393,-8,R1,R104,9,1,False,success,0.06299996376037598
GAA_Algorithm_3,1007.31005,1239.4339893445847,2,R1,R104,9,11,False,success,0.7361834049224854
GAA_Algorithm_1,1377.11046,744.7373646800227,-13,R1,R105,14,1,False,success,0.1659250259399414
GAA_Algorithm_2,1377.11046,177.66898200662393,-13,R1,R105,14,1,False,success,0.0635683536529541
GAA_Algorithm_3,1377.11046,1606.2052147348402,2,R1,R105,14,16,False,success,0.5492992401123047
GAA_Algorithm_1,1252.03013,709.2167411560015,-11,R1,R106,12,1,False,success,0.1689615249633789
GAA_Algorithm_2,1252.03013,177.66898200662393,-11,R1,R106,12,1,False,success,0.06652593612670898
GAA_Algorithm_3,1252.03013,1658.1193202808224,4,R1,R106,12,16,False,success,0.6189014911651611
GAA_Algorithm_1,1104.65547,713.949484813908,-9,R1,R107,10,1,False,success,0.16553759574890137
GAA_Algorithm_2,1104.65547,177.66898200662393,-9,R1,R107,10,1,False,success,0.06283736228942871
GAA_Algorithm_3,1104.65547,1472.1475144689014,4,R1,R107,10,14,False,success,0.6707019805908203
GAA_Algorithm_1,960.87528,732.0618959331147,-8,R1,R108,9,1,False,success,0.17432951927185059
GAA_Algorithm_2,960.87528,177.66898200662393,-8,R1,R108,9,1,False,success,0.06261897087097168
GAA_Algorithm_3,960.87528,1286.6958070262056,2,R1,R108,9,11,False,success,0.7602443695068359
GAA_Algorithm_1,1194.73359,686.1042180441406,-10,R1,R109,11,1,False,success,0.16601800918579102
GAA_Algorithm_2,1194.73359,177.66898200662393,-10,R1,R109,11,1,False,success,0.06301379203796387
GAA_Algorithm_3,1194.73359,1465.5156044052171,3,R1,R109,11,14,False,success,0.628321647644043
GAA_Algorithm_1,1118.83808,725.9077534496399,-9,R1,R110,10,1,False,success,0.16989922523498535
GAA_Algorithm_2,1118.83808,177.66898200662393,-9,R1,R110,10,1,False,success,0.06307458877563477
GAA_Algorithm_3,1118.83808,1367.8203693554192,2,R1,R110,10,12,False,success,0.6769232749938965
GAA_Algorithm_1,1096.72605,700.9744674032047,-9,R1,R111,10,1,False,success,0.16851472854614258
GAA_Algorithm_2,1096.72605,177.66898200662393,-9,R1,R111,10,1,False,success,0.06311440467834473
GAA_Algorithm_3,1096.72605,1328.948291065708,3,R1,R111,10,13,False,success,0.6846539974212646
GAA_Algorithm_1,982.13919,708.890990915759,-8,R1,R112,9,1,False,success,0.17235088348388672
GAA_Algorithm_2,982.13919,177.66898200662393,-8,R1,R112,9,1,False,success,0.0636587142944336
GAA_Algorithm_3,982.13919,1228.2957939133044,2,R1,R112,9,11,False,success,0.7097611427307129
